i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
16,5,2.9000000000000012,0,True,29.548285823146553,10,0.1,0.25,True,15.177170899987686,
17,5,0,1,False,None,10,0.1,0.25,True,None,
18,5,0,1,False,None,10,0.1,0.25,True,None,
19,5,2.700000000000001,0,True,27.400059468014298,10,0.1,0.25,True,20.217910300008953,
20,5,2.9000000000000012,0,True,37.654730693606886,10,0.1,0.25,True,14.066759699955583,
21,5,2.9000000000000012,0,True,42.16233584511838,10,0.1,0.25,True,14.910468700050842,
22,5,2.700000000000001,0,True,39.98519794777449,10,0.1,0.25,True,14.691299600002822,
23,5,2.700000000000001,0,True,37.35222807491637,10,0.1,0.25,True,15.725870199967176,
24,5,0,1,False,None,10,0.1,0.25,True,None,
25,5,3.0000000000000013,0,True,48.08352038706407,10,0.1,0.25,True,22.220348500006367,
26,5,0,1,False,None,10,0.1,0.25,True,None,
27,5,3.2000000000000015,0,True,33.89231704725388,10,0.1,0.25,True,17.798477000033017,
28,5,2.700000000000001,0,True,36.56300584082127,10,0.1,0.25,True,13.831648899998982,
29,5,0,1,False,None,10,0.1,0.25,True,None,
0,6,0,1,False,None,10,0.1,0.25,True,None,
1,6,0,1,False,None,10,0.1,0.25,True,None,
2,6,0,1,False,None,10,0.1,0.25,True,None,
3,6,0,1,False,None,10,0.1,0.25,True,None,
4,6,0,1,False,None,10,0.1,0.25,True,None,
5,6,0,1,False,None,10,0.1,0.25,True,None,
6,6,0,1,False,None,10,0.1,0.25,True,None,
7,6,0,1,False,None,10,0.1,0.25,True,None,
8,6,0,1,False,None,10,0.1,0.25,True,None,
9,6,0,1,False,None,10,0.1,0.25,True,None,
10,6,0,1,False,None,10,0.1,0.25,True,None,
11,6,0,1,False,None,10,0.1,0.25,True,None,
12,6,0,1,False,None,10,0.1,0.25,True,None,
13,6,0,1,False,None,10,0.1,0.25,True,None,
14,6,0,1,False,None,10,0.1,0.25,True,None,
15,6,0,1,False,None,10,0.1,0.25,True,None,
16,6,0,1,False,None,10,0.1,0.25,True,None,
17,6,0,1,False,None,10,0.1,0.25,True,None,
18,6,0,1,False,None,10,0.1,0.25,True,None,
19,6,0,1,False,None,10,0.1,0.25,True,None,
20,6,0,1,False,None,10,0.1,0.25,True,None,
21,6,0,1,False,None,10,0.1,0.25,True,None,
22,6,0,1,False,None,10,0.1,0.25,True,None,
23,6,0,1,False,None,10,0.1,0.25,True,None,
24,6,0,1,False,None,10,0.1,0.25,True,None,
25,6,0,1,False,None,10,0.1,0.25,True,None,
26,6,0,1,False,None,10,0.1,0.25,True,None,
27,6,0,1,False,None,10,0.1,0.25,True,None,
28,6,0,1,False,None,10,0.1,0.25,True,None,
29,6,0,1,False,None,10,0.1,0.25,True,None,
0,7,3.1000000000000014,0,True,42.612696571501374,10,0.1,0.25,True,29.240050299966242,
1,7,3.2000000000000015,0,True,27.136732827907114,10,0.1,0.25,True,37.91837189998478,
2,7,0,1,False,None,10,0.1,0.25,True,None,
3,7,3.0000000000000013,0,True,46.05379622433372,10,0.1,0.25,True,31.03781239996897,
4,7,0,1,False,None,10,0.1,0.25,True,None,
5,7,3.0000000000000013,0,True,52.71365742758942,10,0.1,0.25,True,32.27921440004138,
6,7,3.2000000000000015,0,True,44.80097885433907,10,0.1,0.25,True,27.701062300009653,
7,7,1.6000000000000003,1,False,None,10,0.1,0.25,True,None,
8,7,3.4000000000000017,0,True,27.5187832863974,10,0.1,0.25,True,28.1745360000059,
9,7,0,1,False,None,10,0.1,0.25,True,None,
10,7,3.2000000000000015,0,True,42.28361455237888,10,0.1,0.25,True,32.76353660004679,
11,7,3.3000000000000016,0,True,44.39524012749867,10,0.1,0.25,True,44.63916090002749,
12,7,3.0000000000000013,0,True,42.18707330292705,10,0.1,0.25,True,34.25358210003469,
13,7,3.2000000000000015,0,True,37.04813064787135,10,0.1,0.25,True,42.63050849997671,
14,7,0,1,False,None,10,0.1,0.25,True,None,
15,7,0,1,False,None,10,0.1,0.25,True,None,
16,7,0,1,False,None,10,0.1,0.25,True,None,
17,7,0,1,False,None,10,0.1,0.25,True,None,
18,7,0,1,False,None,10,0.1,0.25,True,None,
19,7,2.500000000000001,1,False,None,10,0.1,0.25,True,None,
20,7,3.2000000000000015,0,True,29.2341877162751,10,0.1,0.25,True,24.726600699999835,
21,7,0,1,False,None,10,0.1,0.25,True,None,
22,7,0,1,False,None,10,0.1,0.25,True,None,
23,7,3.2000000000000015,0,True,28.90815264211189,10,0.1,0.25,True,27.23210680001648,
24,7,0,1,False,None,10,0.1,0.25,True,None,
25,7,2.500000000000001,1,False,None,10,0.1,0.25,True,None,
26,7,0,1,False,None,10,0.1,0.25,True,None,
27,7,3.1000000000000014,0,True,70.3348016599275,10,0.1,0.25,True,41.134443299961276,
28,7,1.9000000000000006,1,False,None,10,0.1,0.25,True,None,
29,7,2.1000000000000005,1,False,None,10,0.1,0.25,True,None,
0,8,0,1,False,None,10,0.1,0.25,True,None,
1,8,2.800000000000001,0,True,35.55812001708658,10,0.1,0.25,True,26.771153500012588,
2,8,0,1,False,None,10,0.1,0.25,True,None,
3,8,0,1,False,None,10,0.1,0.25,True,None,
4,8,0,1,False,None,10,0.1,0.25,True,None,
5,8,3.1000000000000014,0,True,31.794053898844723,10,0.1,0.25,True,39.59282079996774,
6,8,0,1,False,None,10,0.1,0.25,True,None,
7,8,2.9000000000000012,0,True,42.988763133455414,10,0.1,0.25,True,51.425713799952064,
8,8,0,1,False,None,10,0.1,0.25,True,None,
9,8,2.9000000000000012,0,True,43.666873161596115,10,0.1,0.25,True,89.983921200037,
10,8,9.99999999999998,0,False,48.892121233377296,10,0.1,0.25,True,277.1350118999835,
11,8,0,1,False,None,10,0.1,0.25,True,None,
12,8,0,1,False,None,10,0.1,0.25,True,None,
13,8,0,1,False,None,10,0.1,0.25,True,None,
14,8,3.3000000000000016,0,True,34.737771850240364,10,0.1,0.25,True,53.2357064000098,
15,8,0,1,False,None,10,0.1,0.25,True,None,
16,8,2.800000000000001,1,False,None,10,0.1,0.25,True,None,
17,8,0,1,False,None,10,0.1,0.25,True,None,
18,8,0,1,False,None,10,0.1,0.25,True,None,
19,8,6.499999999999993,1,False,None,10,0.1,0.25,True,None,
20,8,0,1,False,None,10,0.1,0.25,True,None,
21,8,9.99999999999998,0,False,49.279048713056625,10,0.1,0.25,True,281.47567700000945,
22,8,2.800000000000001,0,True,62.04619923261999,10,0.1,0.25,True,70.9216652000323,
23,8,0,1,False,None,10,0.1,0.25,True,None,
24,8,0,1,False,None,10,0.1,0.25,True,None,
25,8,3.3000000000000016,0,True,33.73151518939057,10,0.1,0.25,True,46.90648050000891,
26,8,0,1,False,None,10,0.1,0.25,True,None,
27,8,0,1,False,None,10,0.1,0.25,True,None,
28,8,0,1,False,None,10,0.1,0.25,True,None,
29,8,0,1,False,None,10,0.1,0.25,True,None,
0,9,3.2000000000000015,0,True,38.70241593770434,10,0.1,0.2,True,71.11664459999884,
1,9,0,1,False,None,10,0.1,0.2,True,None,
2,9,0,1,False,None,10,0.1,0.2,True,None,
3,9,0,1,False,None,10,0.1,0.2,True,None,
4,9,0,1,False,None,10,0.1,0.2,True,None,
5,9,0,1,False,None,10,0.1,0.2,True,None,
6,9,0,1,False,None,10,0.1,0.2,True,None,
7,9,0,1,False,None,10,0.1,0.2,True,None,
8,9,3.1000000000000014,0,True,48.44290089533505,10,0.1,0.2,True,44.083521700056735,
9,9,2.800000000000001,0,True,52.94865196076364,10,0.1,0.2,True,60.98107899999013,
10,9,2.3000000000000007,1,False,None,10,0.1,0.2,True,None,
11,9,0,1,False,None,10,0.1,0.2,True,None,
12,9,3.0000000000000013,0,True,57.855332862149815,10,0.1,0.2,True,44.1729989000014,
13,9,0,1,False,None,10,0.1,0.2,True,None,
14,9,0,1,False,None,10,0.1,0.2,True,None,
15,9,0,1,False,None,10,0.1,0.2,True,None,
16,9,3.1000000000000014,0,True,51.33188318407464,10,0.1,0.2,True,76.43392550002318,
17,9,0,1,False,None,10,0.1,0.2,True,None,
18,9,0,1,False,None,10,0.1,0.2,True,None,
19,9,0,1,False,None,10,0.1,0.2,True,None,
20,9,3.2000000000000015,0,True,47.842529485260805,10,0.1,0.2,True,80.00602129998151,
21,9,0,1,False,None,10,0.1,0.2,True,None,
22,9,0,1,False,None,10,0.1,0.2,True,None,
23,9,3.4000000000000017,0,True,38.12969240974107,10,0.1,0.2,True,84.98085039999569,
24,9,2.3000000000000007,1,False,None,10,0.1,0.2,True,None,
25,9,0,1,False,None,10,0.1,0.2,True,None,
26,9,3.3000000000000016,0,True,37.686168746230166,10,0.1,0.2,True,69.21092270000372,
27,9,9.99999999999998,0,False,34.848396776752296,10,0.1,0.2,True,301.1558598999982,
28,9,2.9000000000000012,0,True,44.43708180199452,10,0.1,0.2,True,70.74395309999818,
29,9,2.400000000000001,1,False,None,10,0.1,0.2,True,None,
0,10,0,1,False,None,10,0.1,0.2,True,None,
1,10,2.9000000000000012,0,True,85.23455678730475,10,0.1,0.2,True,54.61181919998489,
2,10,0,1,False,None,10,0.1,0.2,True,None,
3,10,0,1,False,None,10,0.1,0.2,True,None,
4,10,0,1,False,None,10,0.1,0.2,True,None,
5,10,2.600000000000001,0,True,58.502787647300174,10,0.1,0.2,True,78.81014269997831,
6,10,0,1,False,None,10,0.1,0.2,True,None,
7,10,0,1,False,None,10,0.1,0.2,True,None,
8,10,2.9000000000000012,0,True,72.7486671999855,10,0.1,0.2,True,35.070476999972016,
9,10,0,1,False,None,10,0.1,0.2,True,None,
10,10,0,1,False,None,10,0.1,0.2,True,None,
11,10,3.0000000000000013,0,True,46.88190076891403,10,0.1,0.2,True,68.13972330000252,
12,10,0,1,False,None,10,0.1,0.2,True,None,
13,10,0,1,False,None,10,0.1,0.2,True,None,
14,10,0,1,False,None,10,0.1,0.2,True,None,
15,10,0,1,False,None,10,0.1,0.2,True,None,
16,10,0,1,False,None,10,0.1,0.2,True,None,
17,10,0,1,False,None,10,0.1,0.2,True,None,
18,10,0,1,False,None,10,0.1,0.2,True,None,
19,10,1.4000000000000001,1,False,None,10,0.1,0.2,True,None,
20,10,2.9000000000000012,0,True,58.51786070095072,10,0.1,0.2,True,41.76327150000725,
21,10,3.1000000000000014,0,True,55.11146087236911,10,0.1,0.2,True,88.87828319997061,
22,10,0,1,False,None,10,0.1,0.2,True,None,
23,10,0,1,False,None,10,0.1,0.2,True,None,
24,10,2.400000000000001,1,False,None,10,0.1,0.2,True,None,
25,10,0,1,False,None,10,0.1,0.2,True,None,
26,10,3.0000000000000013,0,True,42.01788759153823,10,0.1,0.2,True,56.88941910001449,
27,10,0,1,False,None,10,0.1,0.2,True,None,
28,10,2.800000000000001,1,False,None,10,0.1,0.2,True,None,
29,10,0,1,False,None,10,0.1,0.2,True,None,
