i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
8,10,4.999999999999998,48,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
9,10,4.999999999999998,50,False,0.3827085255013447,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
10,10,4.999999999999998,46,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
11,10,4.999999999999998,41,False,0.06304456994149185,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
12,10,4.999999999999998,46,False,0.09874181154536263,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
13,10,4.999999999999998,50,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
14,10,4.999999999999998,32,False,0.4247231685913696,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
15,10,4.999999999999998,50,False,1.2192940676373745,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
16,10,2.800000000000001,0,True,82.22818091919355,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,32.7797573999851,
17,10,3.1000000000000014,0,True,90.52504755429457,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,42.483568700030446,
18,10,4.999999999999998,42,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
19,10,4.999999999999998,42,False,0.8923237404788776,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
20,10,4.999999999999998,43,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
21,10,4.999999999999998,43,False,0.007554687663090447,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
22,10,4.999999999999998,50,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
23,10,2.800000000000001,0,True,169.86200465510362,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,62.87094330001855,
24,10,4.999999999999998,50,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
25,10,3.1000000000000014,0,True,53.352444329013636,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,42.847781399963424,
26,10,4.999999999999998,50,False,0.4746267977252061,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
27,10,3.1000000000000014,0,True,68.05013769413473,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,50.612538299988955,
28,10,4.999999999999998,42,False,0,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,None,
29,10,3.4000000000000017,0,True,49.03066563292056,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,False,46.41302400000859,
