i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids
0,3,0.1,False,False,16020.810028181366,15,0.1,"[100, 101, 102]",
0,3,0.2,False,False,14644.949661078525,15,0.1,"[100, 101, 102]",
0,3,0.30000000000000004,False,False,18165.534676907213,15,0.1,"[100, 101, 102]",
0,3,0.4,False,False,15828.9127500669,15,0.1,"[100, 101, 102]",
0,3,0.5,False,False,13157.943007037866,15,0.1,"[100, 101, 102]",
0,3,0.6,False,False,16573.278720836515,15,0.1,"[100, 101, 102]",
0,3,0.7,False,False,13863.487497959803,15,0.1,"[100, 101, 102]",
0,3,0.7999999999999999,False,False,11899.511379521875,15,0.1,"[100, 101, 102]",
0,3,0.8999999999999999,False,False,9914.682854155057,15,0.1,"[100, 101, 102]",
0,3,0.9999999999999999,False,False,8233.95813475668,15,0.1,"[100, 101, 102]",
0,3,1.0999999999999999,False,False,6791.934775146843,15,0.1,"[100, 101, 102]",
0,3,1.2,False,False,5560.479588415526,15,0.1,"[100, 101, 102]",
0,3,1.3,False,False,4551.964775133301,15,0.1,"[100, 101, 102]",
0,3,1.4000000000000001,False,False,3726.3301473053534,15,0.1,"[100, 101, 102]",
0,3,1.5000000000000002,False,False,3050.446361750275,15,0.1,"[100, 101, 102]",
0,3,1.6000000000000003,False,False,2497.154528242479,15,0.1,"[100, 101, 102]",
0,3,1.7000000000000004,False,False,2044.2190874200721,15,0.1,"[100, 101, 102]",
0,3,1.8000000000000005,False,False,1154.5321486930488,15,0.1,"[100, 101, 102]",
0,3,1.9000000000000006,False,False,945.1224227536101,15,0.1,"[100, 101, 102]",
0,3,2.0000000000000004,False,False,773.6955697021335,15,0.1,"[100, 101, 102]",
0,3,2.1000000000000005,False,False,633.3622327729915,15,0.1,"[100, 101, 102]",
0,3,2.2000000000000006,False,False,518.4826505156745,15,0.1,"[100, 101, 102]",
0,3,2.3000000000000007,False,False,424.4400045200499,15,0.1,"[100, 101, 102]",
0,3,2.400000000000001,False,False,347.4548775910599,15,0.1,"[100, 101, 102]",
0,3,2.500000000000001,False,False,208.51037790599918,15,0.1,"[100, 101, 102]",
0,3,2.600000000000001,False,False,170.69068495308437,15,0.1,"[100, 101, 102]",
0,3,2.700000000000001,False,False,139.73075325543326,15,0.1,"[100, 101, 102]",
0,3,2.800000000000001,False,False,114.38635478650417,15,0.1,"[100, 101, 102]",
0,3,2.9000000000000012,False,False,61.71508942253839,15,0.1,"[100, 101, 102]",
0,3,3.0000000000000013,False,False,50.52120246620685,15,0.1,"[100, 101, 102]",
0,3,3.1000000000000014,False,False,41.35767045874296,15,0.1,"[100, 101, 102]",
0,3,3.2000000000000015,False,False,33.85622617738788,15,0.1,"[100, 101, 102]",
0,5,0.1,False,False,86573.78876420356,15,0.1,"[100, 101, 102, 103, 104]",
0,5,0.2,False,False,79566.7261356291,15,0.1,"[100, 101, 102, 103, 104]",
0,5,0.30000000000000004,False,False,71874.46821256027,15,0.1,"[100, 101, 102, 103, 104]",
0,5,0.4,False,False,62772.97425702702,15,0.1,"[100, 101, 102, 103, 104]",
0,5,0.5,False,False,53558.24644230505,15,0.1,"[100, 101, 102, 103, 104]",
0,5,0.6,False,False,45532.09457812678,15,0.1,"[100, 101, 102, 103, 104]",
