i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids
1,10,4.000000000000002,0,True,48.25707823813579,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
2,10,4.000000000000002,0,True,38.77562744331134,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
3,10,4.000000000000002,0,True,37.84631880982469,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
4,10,4.000000000000002,0,True,51.48883390383225,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
5,10,4.000000000000002,0,True,47.263422160102785,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
6,10,4.000000000000002,0,True,41.32361782914694,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
7,10,4.000000000000002,0,True,37.35868632804034,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
8,10,4.000000000000002,0,True,40.98022038621265,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
9,10,4.000000000000002,0,True,50.144626801361575,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
10,10,4.000000000000002,0,True,38.38990707319332,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
11,10,4.000000000000002,0,True,38.775936477894035,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
12,10,4.000000000000002,0,True,42.85017423084073,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
13,10,4.000000000000002,0,True,42.621819080525064,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
14,10,4.000000000000002,0,True,52.51969919522639,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
15,10,4.000000000000002,0,True,39.15527001239899,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
16,10,4.000000000000002,0,True,40.638347213399484,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
