i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
0,4,2.9000000000000012,0,True,26.285511832935384,10,0.1,0.4,True,14.651326899998821,
1,4,2.500000000000001,0,True,41.703287344564885,10,0.1,0.4,True,12.998955000017304,
2,4,2.600000000000001,0,True,23.467607882694583,10,0.1,0.4,True,10.579444699978922,
3,4,2.600000000000001,0,True,34.95315496096567,10,0.1,0.4,True,12.477575200027786,
4,4,2.700000000000001,0,True,22.040570472050113,10,0.1,0.4,True,12.36997339996742,
5,4,2.800000000000001,0,True,22.590667499525956,10,0.1,0.4,True,13.486166700022295,
6,4,2.500000000000001,0,True,38.60506981684526,10,0.1,0.4,True,11.60958990000654,
7,4,3.2000000000000015,0,True,19.41718520430218,10,0.1,0.4,True,12.843099799996708,
8,4,3.2000000000000015,0,True,22.202021849465737,10,0.1,0.4,True,13.005114800005686,
9,4,2.9000000000000012,0,True,25.520747946302805,10,0.1,0.4,True,11.903252199990675,
10,4,5.099999999999998,0,True,29.309757306992125,10,0.1,0.4,True,35.64345370000228,
11,4,2.9000000000000012,0,True,28.29663176140655,10,0.1,0.4,True,14.803676899988204,
12,4,2.800000000000001,0,True,37.09257500403074,10,0.1,0.4,True,13.448547900014091,
13,4,3.2000000000000015,0,True,16.812609493215103,10,0.1,0.4,True,15.651281200000085,
