i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
0,4,3.1000000000000014,0,True,24.457433082993347,10,0.1,0.4,True,14.498303700005636,
1,4,2.800000000000001,0,True,35.1363005132899,10,0.1,0.4,True,13.18344920000527,
2,4,2.9000000000000012,0,True,31.08406978641159,10,0.1,0.4,True,13.105099399981555,
3,4,3.2000000000000015,0,True,33.49767865808406,10,0.1,0.4,True,15.724391900002956,
4,4,2.9000000000000012,0,True,35.107302816529156,10,0.1,0.4,True,14.687365300022066,
5,4,2.400000000000001,0,True,26.74450233454253,10,0.1,0.4,True,12.85759520001011,
6,4,3.1000000000000014,0,True,26.81084902737702,10,0.1,0.4,True,14.689690199971665,
7,4,2.700000000000001,0,True,20.54478201004767,10,0.1,0.4,True,12.316665099991951,
8,4,3.4000000000000017,0,True,18.66120829103626,10,0.1,0.4,True,15.116966700006742,
9,4,2.600000000000001,0,True,29.713833023815326,10,0.1,0.4,True,12.921307499986142,
10,4,3.1000000000000014,0,True,31.181989465244634,10,0.1,0.4,True,13.505865299957804,
11,4,2.9000000000000012,0,True,31.411244928100725,10,0.1,0.4,True,15.958817199978512,
12,4,2.9000000000000012,0,True,29.03864007119101,10,0.1,0.4,True,13.82040839997353,
13,4,2.700000000000001,0,True,30.59359478727821,10,0.1,0.4,True,14.000343499996234,
14,4,3.1000000000000014,0,True,23.411885361412388,10,0.1,0.4,True,14.828307799994946,
15,4,2.700000000000001,0,True,29.990323966657826,10,0.1,0.4,True,11.579185399983544,
16,4,2.800000000000001,0,True,30.66977461250943,10,0.1,0.4,True,13.656667799979914,
17,4,3.0000000000000013,0,True,37.864266511367184,10,0.1,0.4,True,14.528268499998376,
18,4,3.1000000000000014,0,True,21.629479666513205,10,0.1,0.4,True,16.148571399971843,
19,4,2.600000000000001,0,True,40.325616178365735,10,0.1,0.4,True,10.382701400027145,
20,4,2.600000000000001,0,True,34.57466037871734,10,0.1,0.4,True,10.353109100018628,
21,4,2.600000000000001,0,True,39.8228145331381,10,0.1,0.4,True,11.521719000011217,
22,4,2.700000000000001,0,True,35.69693414925039,10,0.1,0.4,True,17.71813649998512,
23,4,2.9000000000000012,0,True,25.261896433470802,10,0.1,0.4,True,21.42766520002624,
24,4,2.9000000000000012,0,True,31.507017357352336,10,0.1,0.4,True,12.411420100019313,
25,4,2.700000000000001,0,True,29.626817389682337,10,0.1,0.4,True,12.522607499966398,
26,4,2.800000000000001,0,True,43.55260780861353,10,0.1,0.4,True,12.997243399964646,
27,4,2.700000000000001,0,True,27.51732897798331,10,0.1,0.4,True,11.454754300008062,
28,4,2.400000000000001,0,True,31.523299599101165,10,0.1,0.4,True,9.727706499979831,
29,4,2.9000000000000012,0,True,20.599901381155416,10,0.1,0.4,True,14.120848999998998,
0,5,3.1000000000000014,0,True,41.323421173111754,10,0.1,0.25,True,15.353144799999427,
1,5,0,1,False,None,10,0.1,0.25,True,None,
2,5,2.700000000000001,0,True,41.886011491730514,10,0.1,0.25,True,19.874906199984252,
3,5,2.800000000000001,0,True,44.761627088362076,10,0.1,0.25,True,13.920409799960908,
4,5,0,1,False,None,10,0.1,0.25,True,None,
5,5,3.0000000000000013,0,True,44.73457956297235,10,0.1,0.25,True,18.376940600050148,
6,5,2.9000000000000012,0,True,35.512411425779995,10,0.1,0.25,True,14.106635499978438,
7,5,3.1000000000000014,0,True,21.76693873476436,10,0.1,0.25,True,15.715600099996664,
8,5,0,1,False,None,10,0.1,0.25,True,None,
9,5,2.800000000000001,0,True,19.34803133954925,10,0.1,0.25,True,16.779959700012114,
10,5,2.9000000000000012,0,True,35.6171159447682,10,0.1,0.25,True,14.246855099976528,
11,5,0,1,False,None,10,0.1,0.25,True,None,
12,5,2.600000000000001,0,True,50.94159909208065,10,0.1,0.25,True,17.54229839995969,
13,5,0,1,False,None,10,0.1,0.25,True,None,
14,5,0,1,False,None,10,0.1,0.25,True,None,
15,5,2.9000000000000012,0,True,36.86002219939434,10,0.1,0.25,True,15.919359799998347,
16,5,3.0000000000000013,0,True,47.626757797113655,10,0.1,0.25,True,43.12185070000123,
17,5,3.0000000000000013,0,True,67.02347917907088,10,0.1,0.25,True,22.09058509999886,
18,5,0,1,False,None,10,0.1,0.25,True,None,
19,5,0,1,False,None,10,0.1,0.25,True,None,
20,5,3.0000000000000013,0,True,36.48306020922017,10,0.1,0.25,True,19.671940500033088,
21,5,2.9000000000000012,0,True,41.78128245795655,10,0.1,0.25,True,14.75381429999834,
22,5,3.1000000000000014,0,True,33.37961387964189,10,0.1,0.25,True,14.54809599998407,
23,5,0,1,False,None,10,0.1,0.25,True,None,
24,5,0,1,False,None,10,0.1,0.25,True,None,
25,5,3.0000000000000013,0,True,88.04701324901478,10,0.1,0.25,True,31.87587160000112,
26,5,3.1000000000000014,0,True,28.81848433036843,10,0.1,0.25,True,18.164189699979033,
27,5,3.1000000000000014,0,True,33.891729685769015,10,0.1,0.25,True,16.471707799995784,
28,5,0,1,False,None,10,0.1,0.25,True,None,
29,5,3.0000000000000013,0,True,36.77133186499175,10,0.1,0.25,True,15.485794000036549,
0,6,0,1,False,None,10,0.1,0.25,True,None,
1,6,0,1,False,None,10,0.1,0.25,True,None,
2,6,0,1,False,None,10,0.1,0.25,True,None,
3,6,0,1,False,None,10,0.1,0.25,True,None,
4,6,0,1,False,None,10,0.1,0.25,True,None,
5,6,0,1,False,None,10,0.1,0.25,True,None,
6,6,0,1,False,None,10,0.1,0.25,True,None,
7,6,0,1,False,None,10,0.1,0.25,True,None,
8,6,0,1,False,None,10,0.1,0.25,True,None,
9,6,0,1,False,None,10,0.1,0.25,True,None,
10,6,0,1,False,None,10,0.1,0.25,True,None,
11,6,0,1,False,None,10,0.1,0.25,True,None,
12,6,0,1,False,None,10,0.1,0.25,True,None,
13,6,0,1,False,None,10,0.1,0.25,True,None,
14,6,0,1,False,None,10,0.1,0.25,True,None,
15,6,0,1,False,None,10,0.1,0.25,True,None,
16,6,0,1,False,None,10,0.1,0.25,True,None,
17,6,0,1,False,None,10,0.1,0.25,True,None,
18,6,0,1,False,None,10,0.1,0.25,True,None,
19,6,0,1,False,None,10,0.1,0.25,True,None,
20,6,0,1,False,None,10,0.1,0.25,True,None,
21,6,0,1,False,None,10,0.1,0.25,True,None,
22,6,0,1,False,None,10,0.1,0.25,True,None,
23,6,0,1,False,None,10,0.1,0.25,True,None,
24,6,0,1,False,None,10,0.1,0.25,True,None,
25,6,0,1,False,None,10,0.1,0.25,True,None,
26,6,0,1,False,None,10,0.1,0.25,True,None,
27,6,0,1,False,None,10,0.1,0.25,True,None,
28,6,0,1,False,None,10,0.1,0.25,True,None,
29,6,0,1,False,None,10,0.1,0.25,True,None,
0,7,3.3000000000000016,0,True,30.91543350872011,10,0.1,0.25,True,23.712025200016797,
1,7,3.2000000000000015,0,True,44.27801578779764,10,0.1,0.25,True,29.009135300002526,
2,7,2.3000000000000007,1,False,None,10,0.1,0.25,True,None,
3,7,0,1,False,None,10,0.1,0.25,True,None,
4,7,3.0000000000000013,0,True,43.2093778042723,10,0.1,0.25,True,21.586905400035903,
