i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids
0,3,3.4000000000000017,0,True,24.10455173822454,10,0.1,"[100, 101, 102]",
1,3,3.4000000000000017,0,True,24.53233414834494,10,0.1,"[100, 101, 102]",
2,3,3.3000000000000016,0,True,25.936274518567572,10,0.1,"[100, 101, 102]",
3,3,3.3000000000000016,0,True,26.24352774662714,10,0.1,"[100, 101, 102]",
4,3,3.3000000000000016,0,True,26.755844289058306,10,0.1,"[100, 101, 102]",
6,3,3.3000000000000016,0,True,26.343825311512592,10,0.1,"[100, 101, 102]",
7,3,3.4000000000000017,0,True,21.860421409265374,10,0.1,"[100, 101, 102]",
9,3,3.4000000000000017,0,True,23.083497370616186,10,0.1,"[100, 101, 102]",
11,3,3.4000000000000017,0,True,22.195678032816875,10,0.1,"[100, 101, 102]",
12,3,3.3000000000000016,0,True,26.799376576767504,10,0.1,"[100, 101, 102]",
14,3,3.4000000000000017,0,True,22.895162782375145,10,0.1,"[100, 101, 102]",
15,3,3.4000000000000017,0,True,23.898347208299644,10,0.1,"[100, 101, 102]",
16,3,3.4000000000000017,0,True,23.99445925651807,10,0.1,"[100, 101, 102]",
17,3,3.4000000000000017,0,True,21.539403440660685,10,0.1,"[100, 101, 102]",
18,3,3.4000000000000017,0,True,22.576919309707495,10,0.1,"[100, 101, 102]",
19,3,3.4000000000000017,0,True,22.78697636674246,10,0.1,"[100, 101, 102]",
20,3,3.4000000000000017,0,True,22.85971700458881,10,0.1,"[100, 101, 102]",
21,3,3.4000000000000017,0,True,33.41086345894739,10,0.1,"[100, 101, 102]",
22,3,3.3000000000000016,0,True,25.988650191607064,10,0.1,"[100, 101, 102]",
23,3,3.4000000000000017,0,True,22.697099418310273,10,0.1,"[100, 101, 102]",
24,3,3.4000000000000017,0,True,22.366687390826186,10,0.1,"[100, 101, 102]",
26,3,3.4000000000000017,0,True,23.415064637769238,10,0.1,"[100, 101, 102]",
27,3,3.4000000000000017,0,True,22.801665903401446,10,0.1,"[100, 101, 102]",
28,3,3.4000000000000017,0,True,22.302748817198225,10,0.1,"[100, 101, 102]",
29,3,3.3000000000000016,0,True,38.65758175545322,10,0.1,"[100, 101, 102]",
0,5,3.600000000000002,0,True,24.25941021358881,10,0.1,"[100, 101, 102, 103, 104]",
1,5,3.600000000000002,0,True,24.58227162057773,10,0.1,"[100, 101, 102, 103, 104]",
2,5,3.600000000000002,0,True,25.017892419210213,10,0.1,"[100, 101, 102, 103, 104]",
3,5,3.600000000000002,0,True,24.404825030982952,10,0.1,"[100, 101, 102, 103, 104]",
4,5,3.600000000000002,0,True,23.580226183932197,10,0.1,"[100, 101, 102, 103, 104]",
5,5,3.600000000000002,0,True,27.00283002857921,10,0.1,"[100, 101, 102, 103, 104]",
6,5,3.600000000000002,0,True,25.317601171168285,10,0.1,"[100, 101, 102, 103, 104]",
7,5,3.600000000000002,0,True,24.489293123073246,10,0.1,"[100, 101, 102, 103, 104]",
8,5,3.600000000000002,0,True,24.641608679301452,10,0.1,"[100, 101, 102, 103, 104]",
9,5,3.600000000000002,0,True,26.269053611571636,10,0.1,"[100, 101, 102, 103, 104]",
10,5,3.600000000000002,0,True,24.64502662838511,10,0.1,"[100, 101, 102, 103, 104]",
11,5,3.600000000000002,0,True,24.93480745828374,10,0.1,"[100, 101, 102, 103, 104]",
12,5,3.600000000000002,0,True,25.192198637427232,10,0.1,"[100, 101, 102, 103, 104]",
13,5,3.600000000000002,0,True,25.731234417488185,10,0.1,"[100, 101, 102, 103, 104]",
14,5,3.600000000000002,0,True,24.693898764655202,10,0.1,"[100, 101, 102, 103, 104]",
15,5,3.600000000000002,0,True,23.828851418775216,10,0.1,"[100, 101, 102, 103, 104]",
16,5,3.600000000000002,0,True,24.771697199482826,10,0.1,"[100, 101, 102, 103, 104]",
17,5,3.600000000000002,0,True,25.74257982586552,10,0.1,"[100, 101, 102, 103, 104]",
18,5,3.600000000000002,0,True,24.996815207092823,10,0.1,"[100, 101, 102, 103, 104]",
19,5,3.600000000000002,0,True,26.181657269931158,10,0.1,"[100, 101, 102, 103, 104]",
20,5,3.600000000000002,0,True,23.267355523346616,10,0.1,"[100, 101, 102, 103, 104]",
21,5,3.600000000000002,0,True,26.0598300300839,10,0.1,"[100, 101, 102, 103, 104]",
22,5,3.600000000000002,0,True,25.705999112761177,10,0.1,"[100, 101, 102, 103, 104]",
23,5,3.600000000000002,0,True,24.673326491170243,10,0.1,"[100, 101, 102, 103, 104]",
24,5,3.600000000000002,0,True,23.039093832192073,10,0.1,"[100, 101, 102, 103, 104]",
25,5,3.600000000000002,0,True,26.49584098062744,10,0.1,"[100, 101, 102, 103, 104]",
26,5,3.600000000000002,0,True,23.64036900842451,10,0.1,"[100, 101, 102, 103, 104]",
27,5,3.600000000000002,0,True,24.060733882879017,10,0.1,"[100, 101, 102, 103, 104]",
28,5,3.600000000000002,0,True,24.572718230556745,10,0.1,"[100, 101, 102, 103, 104]",
29,5,3.600000000000002,0,True,25.247964160947866,10,0.1,"[100, 101, 102, 103, 104]",
