i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
0,3,2.700000000000001,0,True,25.28063329946802,10,0.1,"[100, 101, 102]",0.4,False,5.225958400056697,
1,3,2.3000000000000007,0,True,28.319865374829927,10,0.1,"[100, 101, 102]",0.4,False,4.240387200028636,
2,3,3.2000000000000015,0,True,25.30804122529574,10,0.1,"[100, 101, 102]",0.4,False,7.8073877999559045,
3,3,2.700000000000001,0,True,21.48303495219046,10,0.1,"[100, 101, 102]",0.4,False,4.664336199988611,
4,3,2.700000000000001,0,True,33.884175193814166,10,0.1,"[100, 101, 102]",0.4,False,16.25656589999562,
5,3,2.800000000000001,0,True,24.968687457125494,10,0.1,"[100, 101, 102]",0.4,False,4.837168199999724,
6,3,3.2000000000000015,0,True,22.822627909019182,10,0.1,"[100, 101, 102]",0.4,False,7.335428400023375,
7,3,2.3000000000000007,0,True,23.948808777633324,10,0.1,"[100, 101, 102]",0.4,False,3.9300849999999627,
8,3,2.600000000000001,0,True,32.26686758629816,10,0.1,"[100, 101, 102]",0.4,False,4.45470630005002,
9,3,3.0000000000000013,0,True,39.70216699388607,10,0.1,"[100, 101, 102]",0.4,False,14.518112700025085,
10,3,3.1000000000000014,0,True,17.518957208649937,10,0.1,"[100, 101, 102]",0.4,False,6.431262799946126,
11,3,3.2000000000000015,0,True,23.499477459924126,10,0.1,"[100, 101, 102]",0.4,False,10.790673399984371,
12,3,2.9000000000000012,0,True,27.157899784967306,10,0.1,"[100, 101, 102]",0.4,False,4.9711699999752454,
13,3,2.600000000000001,0,True,23.720059476534676,10,0.1,"[100, 101, 102]",0.4,False,5.515107100014575,
14,3,3.1000000000000014,0,True,16.913877148243266,10,0.1,"[100, 101, 102]",0.4,False,5.29213009995874,
15,3,3.3000000000000016,0,True,23.708777168022078,10,0.1,"[100, 101, 102]",0.4,False,9.673814399982803,
16,3,2.800000000000001,0,True,19.72647328639071,10,0.1,"[100, 101, 102]",0.4,False,4.791728399985004,
17,3,2.9000000000000012,0,True,26.890336922690945,10,0.1,"[100, 101, 102]",0.4,False,7.5669335999991745,
18,3,3.3000000000000016,0,True,21.71526858969273,10,0.1,"[100, 101, 102]",0.4,False,8.084331499994732,
19,3,2.600000000000001,0,True,23.7586392954551,10,0.1,"[100, 101, 102]",0.4,False,8.728298900008667,
20,3,2.9000000000000012,0,True,40.712787057058804,10,0.1,"[100, 101, 102]",0.4,False,9.068168099969625,
21,3,3.4000000000000017,0,True,22.308179134078486,10,0.1,"[100, 101, 102]",0.4,False,15.37546230002772,
22,3,2.400000000000001,0,True,26.149468219351647,10,0.1,"[100, 101, 102]",0.4,False,4.109705600014422,
23,3,2.600000000000001,0,True,31.908728993112092,10,0.1,"[100, 101, 102]",0.4,False,4.475327099964488,
24,3,3.2000000000000015,0,True,21.37936659203986,10,0.1,"[100, 101, 102]",0.4,False,6.624017100024503,
25,3,9.99999999999998,100,False,0,10,0.1,"[100, 101, 102]",0.4,False,None,
