i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius
0,10,4.000000000000002,0,True,37.35503451842369,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
1,10,4.000000000000002,0,True,37.011663038883455,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
2,10,4.000000000000002,0,True,37.08266423461395,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
3,10,4.000000000000002,0,True,37.23271758266996,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
4,10,4.000000000000002,0,True,37.264337796327,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
5,10,4.000000000000002,0,True,37.26875508543025,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
6,10,4.000000000000002,0,True,37.16998840713602,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
7,10,4.000000000000002,0,True,36.98059843348244,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
8,10,4.000000000000002,0,True,37.293509846709206,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
9,10,4.000000000000002,0,True,37.38954997781763,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
10,10,4.000000000000002,0,True,37.11817340803806,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
11,10,4.000000000000002,0,True,37.066879125110226,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
12,10,14.999999999999963,145,False,0.00026508570237144353,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
13,10,4.000000000000002,0,True,36.77686527245278,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
14,10,4.000000000000002,0,True,37.308549097456314,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
15,10,4.000000000000002,0,True,36.99464824053802,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
16,10,4.000000000000002,0,True,37.06582895268894,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
17,10,4.000000000000002,0,True,37.488754445713376,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
18,10,4.000000000000002,0,True,37.19540723003156,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
19,10,4.000000000000002,0,True,36.81842962804114,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
20,10,4.000000000000002,0,True,37.544371140213556,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
21,10,4.000000000000002,0,True,37.54183719691125,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
22,10,4.000000000000002,0,True,37.19697719480386,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
23,10,4.000000000000002,0,True,37.21965283331475,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
24,10,4.000000000000002,0,True,37.03868654684932,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
25,10,4.000000000000002,0,True,36.914456020984964,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
26,10,4.000000000000002,0,True,37.21311529615105,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
27,10,4.000000000000002,0,True,37.25017478705591,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
28,10,4.000000000000002,0,True,36.886712134437325,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
29,10,4.000000000000002,0,True,37.55514298766609,10,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",0.2,
