i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
0,3,0.1,1,False,None,10,0.1,0.4,True,None,
1,3,0.2,1,False,None,10,0.1,0.4,True,None,
2,3,0,1,False,None,10,0.1,0.4,True,None,
3,3,0,1,False,None,10,0.1,0.4,True,None,
4,3,0,1,False,None,10,0.1,0.4,True,None,
5,3,0,1,False,None,10,0.1,0.4,True,None,
6,3,0.2,1,False,None,10,0.1,0.4,True,None,
7,3,0,1,False,None,10,0.1,0.4,True,None,
8,3,0,1,False,None,10,0.1,0.4,True,None,
9,3,0,1,False,None,10,0.1,0.4,True,None,
