i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
0,10,0,False,71465.26959792481,8,0.1,0.15,False,nan,nan, 3,[0.298 3.108 2.982 0.944 0.831 1.038 2.097 0.704 1.502 0.368],
0,10,0.5,False,None,8,0.1,0.15,True,0.3332341874809936,0.11399941692959592,3,[0.133 2.139 2.051 0.423 0.411 0.49  1.195 0.321 0.746 0.147],
1,10,0,False,53250.463316772075,8,0.1,0.15,False,nan,nan, 3,[1.769 1.915 0.328 1.548 1.655 0.924 0.841 0.85  1.106 2.399],
1,10,0,False,None,8,0.1,0.15,True,nan,nan,3,[1.769 1.915 0.328 1.548 1.655 0.924 0.841 0.85  1.106 2.399],
2,10,0,False,62032.606122281024,8,0.1,0.15,False,nan,nan, 3,[0.696 1.514 1.448 2.277 1.18  1.633 1.346 0.788 2.689 1.016],
2,10,1.9000000000000006,True,2767.736563801954,8,0.1,0.15,True,0.2741865327753323,0.062416562992811134,3,[0.024 0.039 0.028 0.077 0.052 0.053 0.047 0.033 0.089 0.03 ],
3,10,0,False,43363.407226843745,8,0.1,0.15,False,nan,nan, 3,[1.15  1.972 1.166 1.069 0.81  1.123 1.526 0.746 1.945 1.022],
3,10,1.6000000000000003,True,2254.5858414786044,8,0.1,0.15,True,0.26582542321484653,0.05231363887326827,3,[0.076 0.096 0.055 0.038 0.03  0.038 0.071 0.027 0.085 0.043],
4,10,0,False,56056.00140645776,8,0.1,0.15,False,nan,nan, 3,[0.898 2.412 0.901 1.302 1.801 0.891 1.086 2.403 0.769 1.306],
4,10,0.5,False,None,8,0.1,0.15,True,0.31219592817709785,0.11819720659843196,3,[0.4   1.404 0.424 0.654 0.958 0.387 0.497 1.56  0.32  0.616],
5,10,0,False,71935.0781731365,8,0.1,0.15,False,nan,nan, 3,[1.928 1.804 2.499 1.24  1.405 0.822 0.655 0.896 0.831 3.074],
5,10,0.4,False,None,8,0.1,0.15,True,0.25457845497730885,0.031006376684982837,3,[1.31  1.164 1.808 0.715 0.89  0.468 0.354 0.509 0.478 2.405],
6,10,0,False,57802.21245885832,8,0.1,0.15,False,nan,nan, 3,[1.161 1.627 1.402 1.002 2.962 0.932 0.531 1.061 0.527 2.198],
6,10,1.6000000000000003,True,2480.6569784687485,8,0.1,0.15,True,0.31920032588895997,0.1403996580607617,3,[0.037 0.094 0.045 0.034 0.095 0.078 0.028 0.061 0.026 0.046],
7,10,0,False,50672.0112082074,8,0.1,0.15,False,nan,nan, 3,[0.896 0.642 2.379 1.801 1.002 1.356 1.56  1.474 0.964 1.332],
7,10,0.30000000000000004,False,None,8,0.1,0.15,True,0.2713558050396387,0.06454368471256114,3,[0.629 0.447 2.009 1.398 0.709 1.036 1.161 1.123 0.68  0.997],
8,10,0,False,46951.278645960716,8,0.1,0.15,False,nan,nan, 3,[0.624 1.363 1.592 0.821 1.759 1.029 1.394 1.522 2.032 0.887],
8,10,0,False,None,8,0.1,0.15,True,nan,nan,3,[0.624 1.363 1.592 0.821 1.759 1.029 1.394 1.522 2.032 0.887],
9,10,0,False,39440.27374345481,8,0.1,0.15,False,nan,nan, 3,[1.459 0.312 1.761 1.037 1.267 1.321 1.557 0.75  1.242 1.222],
9,10,1.5000000000000002,True,2124.098608576772,8,0.1,0.15,True,0.2711562527634669,0.05629929660558064,3,[0.071 0.021 0.098 0.047 0.067 0.063 0.067 0.029 0.032 0.06 ],
10,10,0,False,47716.61650709623,8,0.1,0.15,False,nan,nan, 3,[2.101 1.304 1.11  1.032 1.745 1.17  0.487 1.895 1.102 1.104],
10,10,0.4,False,None,8,0.1,0.15,True,0.39782909310015385,0.33441465852503893,3,[1.481 0.768 0.636 0.62  1.108 0.682 0.245 1.377 0.639 0.634],
11,10,0,False,58210.39960229691,8,0.1,0.15,False,nan,nan, 3,[1.372 0.886 1.345 0.931 1.338 2.035 1.937 1.143 2.015 1.7  ],
