i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,1.2,True,686.1006077893223,8,0.1,0.5,False,0.5004126666754019, None,[0.087 0.045 0.052],
0,3,1.6000000000000003,True,710.9636843780216,8,0.1,0.5,True,0.19857449999835808,1,[0.093 0.05  0.058],
1,3,0.9999999999999999,True,582.5236425199269,8,0.1,0.5,False,0.23489480002317578, None,[0.079 0.08  0.077],
1,3,2.1000000000000005,False,887.3807406242802,8,0.1,0.5,True,0.18306250479404948,1,[0.183 0.025 0.184],
2,3,1.3,True,696.9446916792534,8,0.1,0.5,False,0.32043676922778386, None,[0.006 0.071 0.065],
2,3,1.6000000000000003,True,731.6250120924617,8,0.1,0.5,True,0.18754161249671597,1,[0.06  0.095 0.065],
3,3,1.3,True,700.7853666534874,8,0.1,0.5,False,0.3115868230726427, None,[0.023 0.042 0.07 ],
3,3,1.6000000000000003,True,761.5505379414917,8,0.1,0.5,True,0.18282501873909496,1,[0.059 0.071 0.084],
