i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
17,3,1.4000000000000001,True,470.2720679704881,8,0.1,0.5,True,0.21801076714265427,3,[0.014 0.024 0.066],
18,3,2.3000000000000007,True,237.52173347884593,8,0.1,0.5,False,0.04420827965140748, None,[0.053 0.097 0.025],
18,3,1.2,True,487.57812087089343,8,0.1,0.5,True,0.1894831140016322,3,[0.091 0.071 0.058],
19,3,1.3,True,844.7662937919512,8,0.1,0.5,False,0.034782485616653085, None,[0.042 0.03  0.038],
19,3,1.3,True,912.2124069915737,8,0.1,0.5,True,0.21169096661749512,3,[0.086 0.084 0.051],
20,3,1.2,True,548.5130932224379,8,0.1,0.5,False,0.03303055075108811, None,[0.083 0.02  0.081],
20,3,1.2,True,581.710794485774,8,0.1,0.5,True,0.17564022974814483,3,[0.044 0.059 0.093],
21,3,1.3,True,212.14282033054968,8,0.1,0.5,False,0.032182409001577, None,[0.037 0.065 0.095],
21,3,1.0999999999999999,True,415.7954636288962,8,0.1,0.5,True,0.17657617936228318,3,[0.062 0.084 0.071],
22,3,1.2,True,687.917120552454,8,0.1,0.5,False,0.031208942832260316, None,[0.077 0.072 0.095],
22,3,1.3,True,475.22431924604064,8,0.1,0.5,True,0.17781319369141085,3,[0.051 0.027 0.073],
23,3,1.2,True,193.98535065658473,8,0.1,0.5,False,0.031047377167851664, None,[0.037 0.09  0.071],
23,3,1.0999999999999999,True,283.14192115952875,8,0.1,0.5,True,0.17891708572675602,3,[0.011 0.072 0.072],
24,3,1.3,True,360.49631443315934,8,0.1,0.5,False,0.03146538676698513, None,[0.06  0.071 0.091],
24,3,1.2,True,516.835866953397,8,0.1,0.5,True,0.19743995066649708,3,[0.093 0.044 0.032],
25,3,1.6000000000000003,True,758.9866228215226,8,0.1,0.5,False,0.032972357123981055, None,[0.047 0.044 0.06 ],
25,3,1.6000000000000003,True,768.2963764960776,8,0.1,0.5,True,0.19865997506258282,3,[0.023 0.013 0.069],
26,3,1.3,True,676.2452097189766,8,0.1,0.5,False,0.03435000161810491, None,[0.048 0.078 0.022],
26,3,1.4000000000000001,True,490.90611585392986,8,0.1,0.5,True,0.20639298192691058,3,[0.02  0.044 0.03 ],
27,3,1.0999999999999999,True,183.40869520366405,8,0.1,0.5,False,0.033627729087708176, None,[0.044 0.08  0.073],
27,3,1.0999999999999999,True,174.36288233093748,8,0.1,0.5,True,0.19721361727384978,3,[0.027 0.082 0.031],
28,3,1.2,True,151.3768531599688,8,0.1,0.5,False,0.03476576800191348, None,[0.052 0.067 0.077],
28,3,1.0999999999999999,True,210.03671028560416,8,0.1,0.5,True,0.18644072536236225,3,[0.011 0.033 0.081],
29,3,3.0000000000000013,True,201.92797940891973,8,0.1,0.5,False,0.03470181800075807, None,[0.023 0.09  0.098],
29,3,1.3,True,289.62902904019893,8,0.1,0.5,True,0.2068877303066144,3,[0.009 0.017 0.056],
0,4,1.3,True,764.3642736933089,8,0.1,0.5,False,0.056722102002822794, None,[0.076 0.066 0.068 0.034],
0,4,1.3,True,816.3113363616998,8,0.1,0.5,True,0.32176973384831886,3,[0.024 0.088 0.081 0.028],
1,4,1.3,True,454.6123505601199,8,0.1,0.5,False,0.057508871155173086, None,[0.058 0.052 0.061 0.016],
1,4,1.3,True,492.79260537545895,8,0.1,0.5,True,0.30799101761658676,3,[0.081 0.01  0.019 0.02 ],
2,4,1.3,True,684.5907831955967,8,0.1,0.5,False,0.055932740228644647, None,[0.05  0.05  0.062 0.03 ],
2,4,1.3,True,740.6382348933475,8,0.1,0.5,True,0.3385724951535499,3,[0.027 0.053 0.063 0.028],
3,4,1.2,True,286.4966432788373,8,0.1,0.5,False,0.06870933558699714, None,[0.049 0.072 0.067 0.081],
3,4,1.0999999999999999,True,448.03715270465386,8,0.1,0.5,True,0.339847128633251,3,[0.069 0.086 0.066 0.027],
4,4,2.600000000000001,True,470.8607464905284,8,0.1,0.5,False,0.06310227876887299, None,[0.072 0.093 0.013 0.062],
4,4,1.5000000000000002,True,581.4981977283807,8,0.1,0.5,True,0.4375692796010602,3,[0.068 0.063 0.016 0.035],
5,4,1.3,True,403.84273062604643,8,0.1,0.5,False,0.06414627884357917, None,[0.069 0.068 0.025 0.021],
5,4,1.2,True,715.3911317825197,8,0.1,0.5,True,0.31596295908335986,3,[0.077 0.036 0.016 0.05 ],
6,4,1.3,True,610.6398493264198,8,0.1,0.5,False,0.0580191863062702, None,[0.01  0.063 0.063 0.069],
6,4,1.3,True,611.9099991302082,8,0.1,0.5,True,0.32558288623001247,3,[0.064 0.016 0.05  0.061],
7,4,1.3,True,601.0429785955596,8,0.1,0.5,False,0.060713709306303196, None,[0.062 0.053 0.049 0.09 ],
7,4,1.3,True,659.0291999282133,8,0.1,0.5,True,0.3197773553872069,3,[0.026 0.034 0.021 0.075],
8,4,1.2,True,276.84799085190093,8,0.1,0.5,False,0.056573359999068394, None,[0.055 0.082 0.085 0.05 ],
8,4,1.0999999999999999,True,425.6090650879154,8,0.1,0.5,True,0.3061602721810976,3,[0.033 0.092 0.045 0.028],
9,4,2.400000000000001,True,493.6376117607398,8,0.1,0.5,False,0.05707474325148117, None,[0.035 0.097 0.064 0.033],
9,4,1.4000000000000001,True,773.5524039830586,8,0.1,0.5,True,0.30319649436049595,3,[0.005 0.064 0.03  0.037],
