i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,1.2,True,196.26682371514295,8,0.1,0.5,False,0.030379999585420592, None,[0.062 0.084 0.047],
0,3,1.0999999999999999,True,285.71241928513115,8,0.1,0.5,True,0.1771943538174541,3,[0.061 0.062 0.075],
1,3,1.4000000000000001,True,344.19996467215884,8,0.1,0.5,False,0.03022674992930011, None,[0.033 0.05  0.099],
1,3,1.3,True,432.8953083422217,8,0.1,0.5,True,0.17105303030761065,3,[0.069 0.015 0.052],
2,3,1.2,True,313.0999930048462,8,0.1,0.5,False,0.030295416831601567, None,[0.044 0.032 0.066],
2,3,1.2,True,335.13169822939517,8,0.1,0.5,True,0.1683083037508671,3,[0.066 0.041 0.066],
3,3,1.3,True,600.4455291858428,8,0.1,0.5,False,0.031142639075719323, None,[0.048 0.05  0.049],
3,3,1.3,True,623.9510056131251,8,0.1,0.5,True,0.17080124223474952,3,[0.097 0.009 0.066],
4,3,0.9999999999999999,True,84.48301611899508,8,0.1,0.5,False,0.030075700998713727, None,[0.041 0.028 0.086],
4,3,0.8999999999999999,True,134.22100663128316,8,0.1,0.5,True,0.17063399399921764,3,[0.049 0.054 0.075],
5,3,1.2,True,310.4036103525389,8,0.1,0.5,False,0.0297582592490168, None,[0.054 0.074 0.046],
5,3,1.2,True,326.5697449246079,8,0.1,0.5,True,0.1834799972481657,3,[0.055 0.081 0.021],
6,3,1.2,True,456.12148458012985,8,0.1,0.5,False,0.03172258566701203, None,[0.077 0.086 0.095],
6,3,1.2,True,446.57568153620673,8,0.1,0.5,True,0.1766450490843757,3,[0.079 0.031 0.084],
7,3,1.4000000000000001,True,643.7056644701013,8,0.1,0.5,False,0.030682274213177152, None,[0.055 0.041 0.008],
7,3,1.4000000000000001,True,678.7109011483685,8,0.1,0.5,True,0.18382982478630897,3,[0.011 0.064 0.049],
8,3,1.4000000000000001,True,645.9054989357027,8,0.1,0.5,False,0.03106176792997368, None,[0.028 0.091 0.041],
8,3,1.5000000000000002,True,505.6477988211773,8,0.1,0.5,True,0.17215676673222333,3,[0.013 0.04  0.051],
9,3,1.3,True,381.31771148211817,8,0.1,0.5,False,0.031490595921730764, None,[0.052 0.052 0.025],
9,3,1.3,True,388.0536002863194,8,0.1,0.5,True,0.1726351401526839,3,[0.071 0.026 0.028],
10,3,1.2,True,332.9402847057139,8,0.1,0.5,False,0.030880391252139816, None,[0.055 0.075 0.061],
10,3,1.2,True,325.7869534355278,8,0.1,0.5,True,0.17693400508384607,3,[0.02  0.097 0.024],
11,3,1.2,True,153.6955230101929,8,0.1,0.5,False,0.031192458254129935, None,[0.043 0.073 0.093],
11,3,1.0999999999999999,True,197.02287829461676,8,0.1,0.5,True,0.17372645463514014,3,[0.019 0.068 0.058],
12,3,1.3,True,491.43019774563805,8,0.1,0.5,False,0.030388683230669882, None,[0.04  0.034 0.05 ],
12,3,1.3,True,512.7897468533763,8,0.1,0.5,True,0.17637703676770727,3,[0.019 0.047 0.08 ],
13,3,1.4000000000000001,True,571.5632964428316,8,0.1,0.5,False,0.030355123427787994, None,[0.039 0.031 0.085],
13,3,1.4000000000000001,True,590.2851308379604,8,0.1,0.5,True,0.17065739421273715,3,[0.015 0.019 0.097],
14,3,1.2,True,348.5351945277248,8,0.1,0.5,False,0.03151155149923094, None,[0.075 0.057 0.089],
14,3,1.2,True,345.59862068088967,8,0.1,0.5,True,0.18445334066200303,3,[0.03  0.024 0.091],
15,3,1.2,True,340.6157478323047,8,0.1,0.5,False,0.03127382516807605, None,[0.063 0.064 0.066],
15,3,1.2,True,359.78618801889854,8,0.1,0.5,True,0.1822593286681998,3,[0.085 0.026 0.042],
16,3,1.3,True,331.33752794427505,8,0.1,0.5,False,0.03321780853842098, None,[0.046 0.046 0.049],
16,3,1.3,True,339.2679592336632,8,0.1,0.5,True,0.218438602769031,3,[0.042 0.022 0.066],
17,3,1.4000000000000001,True,434.4837267403706,8,0.1,0.5,False,0.03980632164374193, None,[0.037 0.017 0.047],
