i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,1.4000000000000001,True,452.1072130944551,8,0.1,0.5,False,0.4372420285529058, None,[0.037 0.017 0.063],
0,3,1.6000000000000003,False,501.01555674953744,8,0.1,0.5,True,0.38588701249682344,30,[0.095 0.052 0.121],
1,3,1.0999999999999999,True,292.3816352094524,8,0.1,0.5,False,0.2701433090789413, None,[0.066 0.087 0.028],
1,3,1.5000000000000002,True,197.25818502351538,8,0.1,0.5,True,0.3601500266619648,30,[0.044 0.085 0.042],
2,3,0.8999999999999999,True,162.62691628457827,8,0.1,0.5,False,0.20960441110138264, None,[0.073 0.021 0.088],
2,3,1.5000000000000002,True,89.3082466616683,8,0.1,0.5,True,0.35380066667372984,30,[0.093 0.051 0.099],
3,3,1.0999999999999999,True,281.953214721119,8,0.1,0.5,False,0.26098039090125397, None,[0.094 0.046 0.043],
3,3,1.5000000000000002,True,174.28426634988836,8,0.1,0.5,True,0.35048120669089255,30,[0.088 0.031 0.069],
4,3,1.2,True,313.02235982860753,8,0.1,0.5,False,0.30391283332331415, None,[0.031 0.079 0.07 ],
4,3,1.6000000000000003,True,250.0079913315397,8,0.1,0.5,True,0.3554136874809046,30,[0.021 0.086 0.072],
5,3,1.2,True,341.17989904554463,8,0.1,0.5,False,0.2703359416627791, None,[0.028 0.075 0.064],
