i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
0,3,1.4000000000000001,True,731.7287756212544,8,0.1,0.2,ilqr,"[100, 101, 102]","0.004650942857140415","0.0028251595937772373","[[100], [101], [102]]","[0.0790295356150484, 0.06116643847284137, 0.021484671386058276]"
0,3,1.5000000000000002,True,730.4080563027368,8,0.1,0.2,centralized_mpc,0.26814216666659074, 0.3805799523373174, 3,[0.078 0.054 0.024],
0,3,1.5000000000000002,True,827.4532916549929,8,0.1,0.2,True,0.17277102222221094,0.01595899865635496,3,[0.083 0.06  0.005],
1,3,1.2,True,557.0039716378715,8,0.1,0.2,ilqr,"[100, 101, 102]","0.003763986111165549","0.0005581329923717715","[[100], [101], [102]]","[0.07564314476738211, 0.0774304252871086, 0.02701614500434422]"
1,3,1.2,True,577.0881128950066,8,0.1,0.2,centralized_mpc,0.10306115000006837, 0.015139011433282999, 3,[0.083 0.085 0.024],
1,3,1.2,True,581.6350629339465,8,0.1,0.2,True,0.16268239999996895,0.010382647902878534,3,[0.087 0.088 0.024],
2,3,1.3,True,648.4276650633769,8,0.1,0.2,ilqr,"[100, 101, 102]","0.005887356410207408","0.0010013487040279095","[[100], [101], [102]]","[0.06115831547964742, 0.08880981524046676, 0.03462188664228473]"
2,3,1.4000000000000001,True,628.8217597752491,8,0.1,0.2,centralized_mpc,0.10053275714293315, 0.01208455253075865, 3,[0.047 0.076 0.022],
2,3,1.4000000000000001,True,632.9057912706327,8,0.1,0.2,True,0.15034806666663567,0.004478351719419409,3,[0.052 0.082 0.022],
3,3,1.2,True,1361.2631830468656,8,0.1,0.2,ilqr,"[100, 101, 102]","0.010830163888891143","0.0027324924493198027","[[100, 102], [101], [100, 102]]","[0.04667334112093217, 0.08555272974723561, 0.059098341898428046]"
3,3,1.0999999999999999,True,542.5911991457263,8,0.1,0.2,centralized_mpc,0.12072774545458742, 0.02326414508823672, 3,[0.046 0.092 0.084],
3,3,1.0999999999999999,True,548.7778940574179,8,0.1,0.2,True,0.17637270909095937,0.02111625368371069,3,[0.043 0.094 0.084],
4,3,1.0999999999999999,True,500.1244914296309,8,0.1,0.2,ilqr,"[100, 101, 102]","0.0040401424242494","0.0005353681955011569","[[100], [101], [102]]","[0.08196881516490334, 0.08003615680871451, 0.06625250851336055]"
4,3,1.0999999999999999,True,514.9985798478824,8,0.1,0.2,centralized_mpc,0.09700027272728304, 0.011298190915617196, 3,[0.088 0.077 0.064],
4,3,1.0999999999999999,True,522.2668343716518,8,0.1,0.2,True,0.14952623636367152,0.002985927758638587,3,[0.094 0.081 0.068],
5,3,1.2,True,952.3873360982709,8,0.1,0.2,ilqr,"[100, 101, 102]","0.009795941666690547","0.0015066933177753507","[[100, 101], [100, 101], [102]]","[0.08526523557403977, 0.09350680586216634, 0.0491853535827257]"
5,3,1.3,True,618.8398943852997,8,0.1,0.2,centralized_mpc,0.1136683846154413, 0.020584112157891382, 3,[0.072 0.092 0.032],
5,3,1.4000000000000001,True,627.5267198270927,8,0.1,0.2,True,0.19713965952381668,0.0363189571223299,3,[0.059 0.079 0.025],
