i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,1.0999999999999999,True,556.998025951005,8,0.1,0.5,False,0.34217102109025954, None,[0.043 0.068 0.046],
0,3,1.2,True,284.2880113273601,8,0.1,0.5,True,0.06043167549796635,1,[0.041 0.065 0.04 ],
1,3,1.0999999999999999,True,502.4371677204247,8,0.1,0.5,False,0.2986018510022074, None,[0.016 0.077 0.064],
1,3,1.2,True,240.1869054379283,8,0.1,0.5,True,0.05997675199978403,1,[0.008 0.073 0.055],
2,3,1.0999999999999999,True,507.2940966817987,8,0.1,0.5,False,0.3006706729991658, None,[0.017 0.079 0.038],
2,3,1.3,True,228.42616448390294,8,0.1,0.5,True,0.061020595845408164,1,[0.003 0.082 0.013],
3,3,1.0999999999999999,True,722.0111114223423,8,0.1,0.5,False,0.3082083541812608, None,[0.077 0.095 0.068],
3,3,1.3,True,418.6186493159751,8,0.1,0.5,True,0.06166800646371065,1,[0.038 0.089 0.03 ],
4,3,0.9999999999999999,True,523.8750205152915,8,0.1,0.5,False,0.29782950300141237, None,[0.018 0.083 0.092],
