i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,0.9999999999999999,True,463.49204113287294,8,0.1,0.5,False,0.4175877399975434, None,[0.028 0.097 0.027],
0,3,1.2,True,466.18204836930516,8,0.1,0.5,True,0.3397343999919637,30,[0.026 0.088 0.062],
1,3,1.3,True,683.482603840868,8,0.1,0.5,False,0.2705350230859879, None,[0.039 0.038 0.066],
1,3,1.6000000000000003,True,751.0087505271476,8,0.1,0.5,True,0.3537284312551492,30,[0.067 0.059 0.085],
2,3,1.3,True,725.1074456090739,8,0.1,0.5,False,0.27603051538328427, None,[0.053 0.02  0.077],
2,3,1.6000000000000003,True,804.9844562503316,8,0.1,0.5,True,0.37166782499843976,30,[0.079 0.067 0.091],
3,3,1.3,True,756.7782358402442,8,0.1,0.5,False,0.2949894307843911, None,[0.033 0.041 0.064],
3,3,1.5000000000000002,True,798.3828431169837,8,0.1,0.5,True,0.37224063333123925,30,[0.044 0.082 0.093],
4,3,1.4000000000000001,True,826.1166513497038,8,0.1,0.5,False,0.3490391142799386, None,[0.004 0.073 0.055],
4,3,1.7000000000000004,True,864.9940117562568,8,0.1,0.5,True,0.3625533176476465,30,[0.023 0.1   0.093],
5,3,0.7999999999999999,True,387.2510238092432,8,0.1,0.5,False,0.19926867498725187, None,[0.087 0.062 0.064],
