i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
0,3,1.7000000000000004,True,899.4172484613172,8,0.1,0.5,False,0.8862578102853149,0.06772002682863594, 3,[0.06  0.057 0.096],
0,3,1.6000000000000003,True,857.3633694283488,8,0.1,0.5,True,0.3280345320842268,0.04359997364486796,3,[0.033 0.063 0.09 ],
1,3,1.5000000000000002,True,650.7322408885886,8,0.1,0.5,False,0.7730396274089192,0.05787210372874183, 3,[0.097 0.025 0.082],
1,3,1.5000000000000002,True,651.7366039384206,8,0.1,0.5,True,0.24967259120247842,0.010866696487213983,3,[0.097 0.025 0.083],
2,3,1.8000000000000005,True,919.4025005237622,8,0.1,0.5,False,0.8179352046798967,0.06350794727694187, 3,[0.089 0.022 0.07 ],
2,3,1.5000000000000002,True,836.6432733308486,8,0.1,0.5,True,0.3233353451101316,0.05133347552268667,3,[0.099 0.029 0.064],
3,3,1.0999999999999999,True,587.3141379090127,8,0.1,0.5,False,0.7864991042773578,0.04783326973198629, 3,[0.088 0.092 0.091],
3,3,1.0999999999999999,True,587.3141050320671,8,0.1,0.5,True,0.2513232046004497,0.015598677818114848,3,[0.088 0.092 0.091],
4,3,1.4000000000000001,True,546.6217143995548,8,0.1,0.5,False,0.8113269574324866,0.05784494452162561, 3,[0.089 0.033 0.061],
4,3,1.4000000000000001,True,546.6217143601983,8,0.1,0.5,True,0.29683105349873323,0.01942070257787517,3,[0.089 0.033 0.061],
5,3,3.600000000000002,False,1561.4374211747245,8,0.1,0.5,False,0.8896928456362931,0.10762771596513691, 3,[0.269 0.03  0.257],
5,3,3.600000000000002,False,1563.2924691550134,8,0.1,0.5,True,0.3258549809521625,0.06510829587881377,3,[0.188 0.03  0.178],
6,3,1.7000000000000004,True,779.1045876936818,8,0.1,0.5,False,0.8185541832388159,0.07542088289500967, 3,[0.09  0.064 0.045],
6,3,1.7000000000000004,True,789.1021101915165,8,0.1,0.5,True,0.31999357082246455,0.0467930608923577,3,[0.095 0.051 0.057],
7,3,3.600000000000002,False,1482.5493044662999,8,0.1,0.5,False,0.7932387189955787,0.0439426053544982, 3,[0.031 0.221 0.205],
7,3,3.600000000000002,False,1620.1946280895654,8,0.1,0.5,True,0.3512058742252756,0.06813436780787202,3,[0.031 0.166 0.153],
8,3,3.600000000000002,False,1415.467045506305,8,0.1,0.5,False,0.8166809963004198,0.06793232638037738, 3,[0.22  0.037 0.226],
8,3,3.600000000000002,False,1510.7014157214096,8,0.1,0.5,True,0.3253032487986342,0.06420984994306402,3,[0.159 0.037 0.162],
9,3,1.6000000000000003,True,741.8873047193586,8,0.1,0.5,False,0.7899320950746187,0.042706631522639614, 3,[0.062 0.086 0.066],
9,3,1.5000000000000002,True,744.9145692623053,8,0.1,0.5,True,0.29084653777277303,0.03702770466083739,3,[0.073 0.098 0.088],
10,3,3.600000000000002,False,1250.70073241587,8,0.1,0.5,False,0.7892692614453457,0.04880241931580592, 3,[0.1   0.126 0.041],
10,3,1.8000000000000005,True,726.4586390079203,8,0.1,0.5,True,0.3098719146467004,0.052040770400759634,3,[0.081 0.066 0.028],
11,3,1.7000000000000004,True,950.5270538156578,8,0.1,0.5,False,0.8420040774131742,0.06463735313634686, 3,[0.087 0.055 0.092],
11,3,1.6000000000000003,True,935.0570556241752,8,0.1,0.5,True,0.3202486643300896,0.0532452401087871,3,[0.094 0.068 0.084],
12,3,1.4000000000000001,True,564.5946652193342,8,0.1,0.5,False,0.8662459030830567,0.113273612424725, 3,[0.038 0.069 0.087],
12,3,1.4000000000000001,True,564.5551083977325,8,0.1,0.5,True,0.4380478191444473,0.05076110320072037,3,[0.038 0.069 0.087],
13,3,1.5000000000000002,True,710.294920333956,8,0.1,0.5,False,0.886618344602175,0.08648221820995555, 3,[0.073 0.088 0.045],
13,3,1.5000000000000002,True,711.0132007223959,8,0.1,0.5,True,0.34588914895818257,0.05408708829422317,3,[0.086 0.086 0.035],
14,3,1.3,True,591.309031699202,8,0.1,0.5,False,0.8303809668465804,0.08871704294771969, 3,[0.056 0.089 0.077],
14,3,1.3,True,591.778108146843,8,0.1,0.5,True,0.2712806942514502,0.02222701240089529,3,[0.048 0.092 0.077],
15,3,1.6000000000000003,True,709.7808311531103,8,0.1,0.5,False,0.8031667303694121,0.040960528569852175, 3,[0.097 0.071 0.022],
15,3,1.6000000000000003,True,709.0961954926155,8,0.1,0.5,True,0.24898844395647757,0.013646842514826032,3,[0.097 0.07  0.023],
16,3,1.8000000000000005,True,863.4154449949053,8,0.1,0.5,False,0.8142756528913095,0.0638394504007623, 3,[0.086 0.057 0.049],
16,3,1.6000000000000003,True,840.8144682003665,8,0.1,0.5,True,0.29135701226914534,0.042185605486282425,3,[0.099 0.075 0.055],
17,3,1.4000000000000001,True,615.1036189148053,8,0.1,0.5,False,0.7765326181335175,0.05887837160671526, 3,[0.093 0.032 0.057],
17,3,1.5000000000000002,True,666.4080409689219,8,0.1,0.5,True,0.31373054962346536,0.05639658999192838,3,[0.089 0.029 0.074],
18,3,1.5000000000000002,True,644.1847359982577,8,0.1,0.5,False,0.7857333163963631,0.05082299030399177, 3,[0.09  0.067 0.051],
18,3,1.5000000000000002,True,641.1307789510907,8,0.1,0.5,True,0.277275794180524,0.03302761194765784,3,[0.087 0.067 0.051],
