i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
0,3,1.2,True,517.0402891502356,8,0.1,0.5,False,2.691788425000008,0.14208751487479304, 3,[0.035 0.059 0.076],
0,3,1.2,True,517.0402855454051,8,0.1,0.5,True,1.8611288055555457,0.1873966051828937,3,[0.035 0.059 0.076],
1,3,1.4000000000000001,True,664.0633945619867,8,0.1,0.5,False,2.7995640928571186,0.08201311194162264, 3,[0.04  0.085 0.051],
1,3,1.4000000000000001,True,668.2715322185686,8,0.1,0.5,True,2.4040470357143002,0.21170545265752463,3,[0.043 0.088 0.051],
