i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
12,3,1.4000000000000001,True,832.7215491463364,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013056056618855408","0.007634623742673377","[[100], [101], [102]]","[0.08040577786100475, 0.02799727811269114, 0.06431333852214825]"
12,3,1.4000000000000001,True,743.1090833446654,8,0.1,0.2,centralized_mpc,0.4093775397858345, 0.06482972135155846, 3,[0.094 0.02  0.071],
12,3,1.5000000000000002,True,737.6291830933733,8,0.1,0.2,True,0.406641431755189,0.0036940595258751446,3,[0.077 0.02  0.058],
13,3,1.2,True,563.763521388589,8,0.1,0.2,ilqr,"[100, 101, 102]","0.011993247972491695","0.00790076508594678","[[100], [101], [102]]","[0.07735382264515135, 0.025679806068945828, 0.0763969162587017]"
13,3,1.2,True,577.7417173546614,8,0.1,0.2,centralized_mpc,0.40286147641684994, 0.04497453357737335, 3,[0.085 0.022 0.079],
13,3,1.2,True,582.9894476429488,8,0.1,0.2,True,0.4055835032223614,0.004015370123936456,3,[0.091 0.019 0.083],
14,3,1.4000000000000001,True,851.3990666675672,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01752636409487639","0.011991599938348528","[[100], [101], [102]]","[0.06863772679107902, 0.031095572567801166, 0.09665885275950037]"
14,3,1.6000000000000003,True,866.2242868198726,8,0.1,0.2,centralized_mpc,0.4221249106876712, 0.07220265401480154, 3,[0.041 0.016 0.077],
14,3,1.6000000000000003,True,870.6423926889647,8,0.1,0.2,True,0.4082487687495207,0.0035514020111083117,3,[0.047 0.017 0.084],
15,3,1.3,True,656.5549242125244,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01628417959009545","0.0065960187934617","[[100], [101], [102]]","[0.06331766184633023, 0.059318859448041404, 0.09404139269588731]"
15,3,1.4000000000000001,True,698.0225972086657,8,0.1,0.2,centralized_mpc,0.4202151122852748, 0.08255557585658814, 3,[0.059 0.047 0.085],
15,3,1.4000000000000001,True,729.6834041699188,8,0.1,0.2,True,0.5651118303095635,0.07025077636882854,3,[0.068 0.047 0.093],
