i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
0,3,1.9000000000000006,True,1131.6955057994558,8,0.1,0.5,False,0.8829482831050356,0.13724249627043852, 3,[0.091 0.023 0.077],
0,3,1.6000000000000003,True,2462.952611373593,8,0.1,0.5,True,0.3896462720833445,0.05105024776800182,3,[0.096 0.056 0.095],
1,3,3.600000000000002,False,2356.354728806331,8,0.1,0.5,False,1.005958478777706,0.15838539777649183, 3,[0.168 0.129 0.218],
1,3,3.600000000000002,False,3160.854069641995,8,0.1,0.5,True,0.35625445228705993,0.08210153437844686,3,[0.144 0.052 0.17 ],
2,3,1.6000000000000003,True,2188.7283337105655,8,0.1,0.5,False,0.7610091090001561,0.048871723961229414, 3,[0.064 0.034 0.086],
2,3,1.6000000000000003,True,2133.5284676833317,8,0.1,0.5,True,0.3362513379167164,0.056192922369276095,3,[0.066 0.034 0.086],
3,3,1.2,True,454.77593923765767,8,0.1,0.5,False,0.7490257177501007,0.045300429288761955, 3,[0.091 0.081 0.051],
3,3,1.0999999999999999,True,861.8093176917336,8,0.1,0.5,True,0.2713917380608495,0.03635574373752969,3,[0.091 0.08  0.012],
4,3,1.3,True,613.2929456479054,8,0.1,0.5,False,0.9541197572305884,0.15269733091871512, 3,[0.075 0.043 0.098],
4,3,1.4000000000000001,True,665.8491982438513,8,0.1,0.5,True,0.3105890140477208,0.048268183579390896,3,[0.047 0.048 0.082],
5,3,1.5000000000000002,True,1209.897418028446,8,0.1,0.5,False,0.9145864152664823,0.1534120714331757, 3,[0.054 0.083 0.054],
5,3,1.4000000000000001,True,1249.5017226567215,8,0.1,0.5,True,0.43663098428558966,0.11437760774582835,3,[0.07  0.088 0.041],
6,3,3.600000000000002,False,1256.7786854891672,8,0.1,0.5,False,0.887006749471968,0.16118236729528093, 3,[0.095 0.138 0.116],
6,3,1.7000000000000004,True,1162.8922211714519,8,0.1,0.5,True,0.3274880889606649,0.06855960706761945,3,[0.052 0.093 0.089],
7,3,1.4000000000000001,True,687.2055237530641,8,0.1,0.5,False,0.7705440790710522,0.053123510242159847, 3,[0.025 0.099 0.093],
7,3,1.4000000000000001,True,845.7446978730286,8,0.1,0.5,True,0.2690962921428114,0.032229349745878884,3,[0.025 0.084 0.089],
8,3,1.4000000000000001,True,752.499054088237,8,0.1,0.5,False,0.76956753878585,0.07089423066352138, 3,[0.092 0.058 0.089],
8,3,1.4000000000000001,True,969.3374102572348,8,0.1,0.5,True,0.3255822783096283,0.06586435481266435,3,[0.089 0.054 0.077],
9,3,1.4000000000000001,True,699.7765214132514,8,0.1,0.5,False,0.780037035357574,0.06188675827488223, 3,[0.084 0.097 0.039],
9,3,1.3,True,968.495314750232,8,0.1,0.5,True,0.28543306484621445,0.04342323571836975,3,[0.1   0.077 0.041],
10,3,3.600000000000002,False,1554.5795433601152,8,0.1,0.5,False,0.7793607427222722,0.059343305848837194, 3,[0.1   0.27  0.288],
10,3,3.600000000000002,False,2502.212482431415,8,0.1,0.5,True,0.34201874266662136,0.07250985180342806,3,[0.059 0.23  0.247],
11,3,3.600000000000002,False,1246.6215708201742,8,0.1,0.5,False,0.7475829232221258,0.04350486738614819, 3,[0.114 0.133 0.031],
11,3,1.2,True,909.4728261608145,8,0.1,0.5,True,0.2574980323885635,0.030651631380597632,3,[0.098 0.09  0.085],
12,3,1.3,True,516.2123056403661,8,0.1,0.5,False,0.7527340046153068,0.0622604516935074, 3,[0.067 0.013 0.092],
12,3,1.0999999999999999,True,694.2196136304491,8,0.1,0.5,True,0.3090686803638109,0.05425021790465661,3,[0.09  0.024 0.087],
13,3,3.600000000000002,False,1773.6847432371421,8,0.1,0.5,False,0.7534503683055946,0.034824642256221915, 3,[0.217 0.256 0.345],
13,3,3.600000000000002,False,3180.4891372265874,8,0.1,0.5,True,0.37219895402764724,0.08860811512277114,3,[0.162 0.195 0.24 ],
14,3,1.8000000000000005,True,929.6665236919343,8,0.1,0.5,False,0.7681232473333794,0.05188469667990637, 3,[0.092 0.024 0.078],
14,3,1.5000000000000002,True,1344.8624627400081,8,0.1,0.5,True,0.31702788424465533,0.05478575310791941,3,[0.097 0.07  0.086],
15,3,3.600000000000002,False,1729.2076201972975,8,0.1,0.5,False,0.7443628409165891,0.048957189969193064, 3,[0.328 0.315 0.158],
15,3,3.600000000000002,False,2902.149342388705,8,0.1,0.5,True,0.3855808763888928,0.09209703095933533,3,[0.322 0.278 0.125],
16,3,1.3,True,1175.3501726378736,8,0.1,0.5,False,0.7551033916151937,0.05136404520303232, 3,[0.082 0.083 0.086],
16,3,1.3,True,1174.5928682856488,8,0.1,0.5,True,0.3401001036924217,0.02163055424293855,3,[0.081 0.083 0.086],
17,3,1.5000000000000002,True,1250.051279220428,8,0.1,0.5,False,0.7405243723333115,0.051486209259353405, 3,[0.084 0.085 0.024],
17,3,1.5000000000000002,True,1310.2956285651048,8,0.1,0.5,True,0.3331272074222297,0.061402688178404205,3,[0.078 0.085 0.018],
