i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,0.9999999999999999,True,598.3079690702127,8,0.1,0.5,False,0.45759920999407766, None,[0.1   0.029 0.086],
0,3,1.4000000000000001,True,550.930378708189,8,0.1,0.5,True,0.3747241642558947,30,[0.089 0.023 0.075],
1,3,1.2,True,665.9107683225063,8,0.1,0.5,False,0.3274610999894018, None,[0.09  0.086 0.076],
1,3,2.1000000000000005,False,1755.7181512775037,8,0.1,0.5,True,0.3800447381190246,30,[0.398 0.334 0.334],
2,3,1.3,True,640.8595352129252,8,0.1,0.5,False,0.2772189846280246, None,[0.022 0.019 0.068],
2,3,1.6000000000000003,True,709.2925006800883,8,0.1,0.5,True,0.35673315623716917,30,[0.053 0.044 0.087],
3,3,1.2,True,792.4128559059815,8,0.1,0.5,False,0.26559246666147374, None,[0.099 0.063 0.075],
3,3,1.6000000000000003,True,808.0259698738028,8,0.1,0.5,True,0.3581383437413024,30,[0.061 0.095 0.091],
4,3,1.2,True,577.5847827760933,8,0.1,0.5,False,0.29459929165507975, None,[0.051 0.075 0.023],
4,3,1.5000000000000002,True,612.2736341316506,8,0.1,0.5,True,0.35567773333750663,30,[0.079 0.084 0.021],
5,3,1.0999999999999999,True,662.5455326897422,8,0.1,0.5,False,0.244229372728362, None,[0.1   0.076 0.04 ],
5,3,1.5000000000000002,True,627.5983666556058,8,0.1,0.5,True,0.34400520000296336,30,[0.086 0.063 0.036],
6,3,1.3,True,864.4803342776921,8,0.1,0.5,False,0.3085334615405792, None,[0.081 0.063 0.044],
6,3,1.5000000000000002,True,894.2119212747966,8,0.1,0.5,True,0.3894334799998129,30,[0.08  0.088 0.074],
7,3,1.2,True,619.8645768608152,8,0.1,0.5,False,0.26721562499490875, None,[0.038 0.097 0.026],
