i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,1.3,True,337.8854618916673,8,0.1,0.5,False,0.07557092292476088, None,[0.061 0.081 0.011],
0,3,1.3,True,360.92930219395197,8,0.1,0.5,True,0.22078402806745054,3,[0.056 0.075 0.006],
1,3,1.4000000000000001,True,299.7416664707184,8,0.1,0.5,False,0.06770629871503583, None,[0.022 0.064 0.031],
1,3,1.3,True,413.34718790365343,8,0.1,0.5,True,0.20047771899799743,3,[0.03  0.099 0.04 ],
2,3,1.3,True,324.3051758527528,8,0.1,0.5,False,0.06898593638190785, None,[0.099 0.012 0.046],
2,3,1.3,True,342.185076513913,8,0.1,0.5,True,0.19816694823272812,3,[0.089 0.002 0.036],
3,3,1.0999999999999999,True,244.40026970003018,8,0.1,0.5,False,0.062158352814466605, None,[0.076 0.023 0.086],
3,3,1.0999999999999999,True,277.14956154449186,8,0.1,0.5,True,0.1905653189116327,3,[0.078 0.029 0.084],
4,3,1.2,True,235.40149606050028,8,0.1,0.5,False,0.06243930542404996, None,[0.074 0.041 0.061],
4,3,1.2,True,253.40870799893244,8,0.1,0.5,True,0.2001075237446154,3,[0.065 0.031 0.058],
5,3,1.3,True,274.12642175596835,8,0.1,0.5,False,0.07082540377338703, None,[0.097 0.018 0.013],
5,3,1.4000000000000001,True,227.31615674468907,8,0.1,0.5,True,0.19118006807028515,3,[0.068 0.005 0.008],
6,3,1.4000000000000001,True,700.223740341394,8,0.1,0.5,False,0.07716261742254053, None,[0.087 0.041 0.065],
