i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
0,9,2.700000000000001,0,True,[7503.909],15,0.1,0.1,True,74.12854679999873,2.178895777776941,[0.033 0.063 0.07  0.08  0.05  0.059 0.077 0.092 0.037],
0,9,2.700000000000001,0,True,[7578.446],15,0.1,0.1,False,40.4132135999389,0.10437283456591898,[0.034 0.065 0.075 0.087 0.05  0.059 0.081 0.092 0.037],
1,9,2.800000000000001,0,True,[11418.541],15,0.1,0.1,True,63.7674559999723,1.7833477107217601,[0.061 0.092 0.084 0.039 0.085 0.068 0.085 0.049 0.066],
1,9,3.5000000000000018,31,False,None,15,0.1,0.1,False,None,0.040689049257354726,[0.03  1.585 1.496 1.594 1.944 1.317 1.513 1.535 1.406],
2,9,3.0000000000000013,0,True,[12513.538],15,0.1,0.1,True,76.81740780000109,2.045396680008465,[0.035 0.042 0.042 0.049 0.073 0.043 0.09  0.099 0.043],
2,9,3.1000000000000014,0,True,[12749.123],15,0.1,0.1,False,31.34217550000176,0.0613738602185021,[0.033 0.039 0.038 0.045 0.068 0.04  0.083 0.098 0.04 ],
3,9,3.0000000000000013,0,True,[14729.321],15,0.1,0.1,True,80.88918920001015,2.1630827700020747,[0.058 0.051 0.037 0.1   0.08  0.067 0.022 0.07  0.082],
3,9,3.1000000000000014,0,True,[15020.103],15,0.1,0.1,False,27.23474219988566,0.04836467705837261,[0.053 0.047 0.034 0.098 0.076 0.063 0.02  0.066 0.077],
4,9,3.0000000000000013,0,True,[18786.133],15,0.1,0.1,True,82.96780709992163,2.224994853348471,[0.096 0.094 0.038 0.094 0.099 0.031 0.092 0.058 0.037],
4,9,3.1000000000000014,0,True,[19132.917],15,0.1,0.1,False,27.829888900043443,0.0495368842286722,[0.087 0.089 0.035 0.09  0.095 0.028 0.086 0.053 0.034],
5,9,3.1000000000000014,0,True,[13825.491],15,0.1,0.1,True,74.95411220006645,1.9253570483772144,[0.092 0.056 0.031 0.058 0.06  0.04  0.071 0.031 0.065],
5,9,3.1000000000000014,0,True,[14010.641],15,0.1,0.1,False,24.34415210003499,0.042388095337259964,[0.092 0.058 0.032 0.059 0.062 0.041 0.074 0.029 0.067],
6,9,2.800000000000001,0,True,[10899.54],15,0.1,0.1,True,60.78795780008659,1.677388214290009,[0.089 0.083 0.064 0.071 0.057 0.056 0.091 0.039 0.067],
6,9,2.800000000000001,0,True,[10956.362],15,0.1,0.1,False,20.48327120009344,0.03675649245823955,[0.089 0.086 0.064 0.073 0.058 0.056 0.094 0.039 0.069],
7,9,3.2000000000000015,0,True,[18622.851],15,0.1,0.1,True,74.00106200005393,1.8079061406169785,[0.097 0.081 0.062 0.025 0.059 0.088 0.036 0.047 0.017],
7,9,3.5000000000000018,28,False,None,15,0.1,0.1,False,None,0.04138313256403697,[0.072 0.063 0.048 0.019 1.599 1.993 1.394 1.518 1.555],
8,9,3.0000000000000013,0,True,[9148.892],15,0.1,0.1,True,66.56572079996113,1.7197552000133631,[0.037 0.064 0.033 0.025 0.031 0.046 0.026 0.097 0.068],
8,9,3.0000000000000013,0,True,[9232.156],15,0.1,0.1,False,22.653645399957895,0.039373461110086216,[0.037 0.067 0.034 0.025 0.031 0.047 0.026 0.1   0.069],
9,9,2.9000000000000012,0,True,[14274.328],15,0.1,0.1,True,60.2063248999184,1.565144710339092,[0.051 0.094 0.065 0.1   0.058 0.061 0.097 0.038 0.063],
9,9,3.0000000000000013,0,True,[14554.725],15,0.1,0.1,False,23.27097010007128,0.04091120407037023,[0.046 0.091 0.06  0.095 0.054 0.058 0.094 0.035 0.058],
10,9,3.0000000000000013,0,True,[10512.817],15,0.1,0.1,True,57.89297180005815,1.454812706661566,[0.039 0.042 0.026 0.067 0.044 0.099 0.069 0.037 0.048],
10,9,3.1000000000000014,0,True,[10673.686],15,0.1,0.1,False,22.881555999978445,0.03669397240524651,[0.035 0.038 0.024 0.064 0.041 0.096 0.063 0.033 0.045],
11,9,3.1000000000000014,0,True,[11303.17],15,0.1,0.1,True,67.88336320000235,1.7087259322532542,[0.029 0.046 0.096 0.053 0.036 0.047 0.053 0.018 0.07 ],
11,9,3.2000000000000015,0,True,[11566.882],15,0.1,0.1,False,29.218326600035653,0.054251412838412866,[0.026 0.042 0.097 0.049 0.032 0.042 0.049 0.016 0.067],
12,9,3.1000000000000014,0,True,[11552.429],15,0.1,0.1,True,64.97982120001689,1.6158766193510663,[0.036 0.05  0.062 0.097 0.04  0.054 0.033 0.052 0.023],
12,9,3.2000000000000015,0,True,[11781.037],15,0.1,0.1,False,23.31325830006972,0.036947552079962205,[0.032 0.045 0.057 0.097 0.036 0.049 0.03  0.048 0.021],
13,9,3.2000000000000015,0,True,[15524.05],15,0.1,0.1,True,62.514251399901696,1.4700158031300816,[0.024 0.092 0.042 0.064 0.049 0.063 0.038 0.023 0.072],
13,9,3.2000000000000015,0,True,[15845.842],15,0.1,0.1,False,24.69337059999816,0.04007107743180111,[0.024 0.098 0.042 0.067 0.05  0.067 0.038 0.023 0.075],
14,9,3.3000000000000016,0,True,[14993.907],15,0.1,0.1,True,124.98975059995428,3.2795754636348593,[0.021 0.05  0.031 0.053 0.059 0.049 0.096 0.031 0.041],
14,9,3.5000000000000018,26,False,None,15,0.1,0.1,False,None,0.06095402710418278,[0.02  1.372 1.569 1.398 1.885 1.325 1.993 1.539 1.259],
15,9,3.0000000000000013,0,True,[9000.071],15,0.1,0.1,True,84.34486760001164,2.2875249333446845,[0.064 0.047 0.029 0.073 0.018 0.095 0.049 0.012 0.029],
