i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
0,3,2.500000000000001,0,True,[3017.863],15,0.1,0.4,True,10.359672900056466,0.2606386880250648,[0.082 0.092 0.085],
0,3,2.500000000000001,0,True,[3018.31],15,0.1,0.4,False,9.113785300054587,0.06343810534104705,[0.082 0.093 0.085],
1,3,2.800000000000001,0,True,[5355.572],15,0.1,0.4,True,11.516500600031577,0.26187467143920784,[0.063 0.089 0.099],
1,3,2.9000000000000012,0,True,[5464.14],15,0.1,0.4,False,9.957116800011136,0.05769411494805553,[0.058 0.086 0.094],
2,3,3.0000000000000013,0,True,[6724.],15,0.1,0.4,True,11.458964299992658,0.23982159333536401,[0.092 0.044 0.093],
2,3,3.0000000000000013,0,True,[6823.167],15,0.1,0.4,False,9.524671499966644,0.05409602333222412,[0.092 0.045 0.099],
3,3,3.2000000000000015,0,True,[8068.622],15,0.1,0.4,True,11.39315850008279,0.2179191812465433,[0.094 0.031 0.075],
3,3,3.2000000000000015,0,True,[8192.686],15,0.1,0.4,False,14.066107699996792,0.08310458228879725,[0.094 0.032 0.082],
4,3,2.400000000000001,0,True,[2777.655],15,0.1,0.4,True,8.637892400030978,0.2219703500062072,[0.087 0.099 0.088],
4,3,2.500000000000001,0,True,[2791.637],15,0.1,0.4,False,5.898870900040492,0.035200620000250635,[0.079 0.092 0.082],
5,3,2.9000000000000012,0,True,[5609.282],15,0.1,0.4,True,10.767216500011273,0.23248402757875236,[0.074 0.067 0.095],
5,3,3.0000000000000013,0,True,[5684.964],15,0.1,0.4,False,10.451246400014497,0.06457785888600888,[0.067 0.061 0.091],
6,3,2.2000000000000006,0,True,[1752.229],15,0.1,0.4,True,8.990238500060514,0.27175972726598213,[0.072 0.093 0.1  ],
6,3,2.3000000000000007,0,True,[1755.714],15,0.1,0.4,False,12.494507999974303,0.11080911593423967,[0.065 0.085 0.093],
7,3,2.9000000000000012,0,True,[6042.011],15,0.1,0.4,True,11.543136699940078,0.2598058861993446,[0.096 0.062 0.089],
7,3,2.9000000000000012,0,True,[6084.04],15,0.1,0.4,False,11.84418709995225,0.07657299999511619,[0.096 0.063 0.092],
8,3,3.1000000000000014,0,True,[7477.107],15,0.1,0.4,True,12.953061499982141,0.2798532838670297,[0.055 0.096 0.068],
8,3,3.2000000000000015,0,True,[7753.653],15,0.1,0.4,False,11.603213599999435,0.06572521042471635,[0.05  0.096 0.064],
9,3,2.700000000000001,0,True,[2344.01],15,0.1,0.4,True,10.741385399946012,0.25973083704054634,[0.01  0.042 0.099],
