i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
9,3,2.800000000000001,0,True,[2347.914],15,0.1,0.4,False,6.642376899952069,0.03551330476018068,[0.009 0.038 0.092],
10,3,2.2000000000000006,0,True,[1487.319],15,0.1,0.4,True,8.28428859997075,0.23924897273536772,[0.088 0.063 0.092],
10,3,2.2000000000000006,0,True,[1487.781],15,0.1,0.4,False,5.253154100035317,0.03577666362627607,[0.088 0.063 0.092],
11,3,2.800000000000001,0,True,[4466.124],15,0.1,0.4,True,14.11205009999685,0.36633732142841574,[0.056 0.097 0.084],
11,3,2.9000000000000012,0,True,[4567.897],15,0.1,0.4,False,25.209306200034916,0.19718454366325047,[0.051 0.095 0.081],
12,3,2.700000000000001,0,True,[3571.209],15,0.1,0.4,True,9.622031299979426,0.21895879630378826,[0.1   0.023 0.087],
12,3,2.700000000000001,0,True,[3580.657],15,0.1,0.4,False,6.360749699990265,0.03500641357688302,[0.1   0.024 0.089],
13,3,3.0000000000000013,0,True,[3883.989],15,0.1,0.4,True,14.53138060006313,0.3455036300079276,[0.032 0.041 0.097],
13,3,3.1000000000000014,0,True,[3919.518],15,0.1,0.4,False,34.33256610005628,0.26312169354403975,[0.029 0.04  0.092],
14,3,3.0000000000000013,0,True,[5607.631],15,0.1,0.4,True,11.200279199983925,0.23470695332701627,[0.073 0.094 0.037],
14,3,3.1000000000000014,0,True,[5704.281],15,0.1,0.4,False,8.139812600100413,0.04117516881751237,[0.066 0.091 0.034],
15,3,2.0000000000000004,0,True,[791.497],15,0.1,0.4,True,7.291114899911918,0.22700459500774742,[0.093 0.019 0.082],
15,3,2.0000000000000004,0,True,[791.037],15,0.1,0.4,False,4.726593400002457,0.03507610667147674,[0.093 0.019 0.082],
16,3,3.2000000000000015,0,True,[8989.911],15,0.1,0.4,True,12.220950999995694,0.2438214656249329,[0.092 0.066 0.064],
16,3,3.2000000000000015,0,True,[9052.279],15,0.1,0.4,False,19.425151400035247,0.13531059687496358,[0.092 0.069 0.066],
17,3,2.700000000000001,0,True,[2955.614],15,0.1,0.4,True,10.158444899949245,0.23866511110423339,[0.099 0.051 0.052],
17,3,2.700000000000001,0,True,[2956.304],15,0.1,0.4,False,14.292675200034864,0.10586399753164086,[0.099 0.051 0.053],
18,3,3.2000000000000015,0,True,[8058.924],15,0.1,0.4,True,12.002390200039372,0.23665174687630497,[0.077 0.094 0.025],
18,3,3.3000000000000016,0,True,[8235.637],15,0.1,0.4,False,8.619860099977814,0.040900220194916154,[0.069 0.091 0.023],
19,3,3.1000000000000014,0,True,[9473.696],15,0.1,0.4,True,11.580158800003119,0.2351596870932788,[0.065 0.085 0.1  ],
19,3,3.2000000000000015,0,True,[9716.227],15,0.1,0.4,False,7.707697300007567,0.036118217703915434,[0.059 0.082 0.096],
20,3,2.9000000000000012,0,True,[4184.27],15,0.1,0.4,True,9.802050999947824,0.2003700724112448,[0.095 0.057 0.046],
20,3,2.9000000000000012,0,True,[4197.491],15,0.1,0.4,False,6.876031800056808,0.03548345172071252,[0.094 0.059 0.047],
21,3,2.500000000000001,0,True,[1946.184],15,0.1,0.4,True,8.756815899978392,0.21236359598115087,[0.059 0.099 0.031],
21,3,2.600000000000001,0,True,[1968.37],15,0.1,0.4,False,6.200499099912122,0.03553405641399037,[0.054 0.094 0.028],
22,3,2.500000000000001,0,True,[2575.058],15,0.1,0.4,True,9.458543099928647,0.24063294800464063,[0.091 0.071 0.078],
22,3,2.500000000000001,0,True,[2578.466],15,0.1,0.4,False,10.745246000005864,0.08125722399912774,[0.091 0.072 0.079],
23,3,2.700000000000001,0,True,[5393.068],15,0.1,0.4,True,10.447300200001337,0.24921194814938913,[0.093 0.097 0.096],
23,3,2.800000000000001,0,True,[5448.124],15,0.1,0.4,False,12.297282099956647,0.08483705238766215,[0.084 0.091 0.091],
24,3,3.2000000000000015,0,True,[7175.512],15,0.1,0.4,True,12.352815799997188,0.24814669062106987,[0.096 0.052 0.045],
24,3,3.2000000000000015,0,True,[7231.755],15,0.1,0.4,False,15.594997999956831,0.09887561040886794,[0.097 0.053 0.047],
25,3,3.1000000000000014,0,True,[7411.152],15,0.1,0.4,True,13.414747099974193,0.2949772483834456,[0.064 0.067 0.096],
25,3,3.2000000000000015,0,True,[7674.081],15,0.1,0.4,False,17.18477450008504,0.11173057603567334,[0.059 0.06  0.098],
26,3,2.600000000000001,0,True,[3324.262],15,0.1,0.4,True,9.941930199973285,0.23278826922894671,[0.049 0.099 0.089],
26,3,2.700000000000001,0,True,[3356.406],15,0.1,0.4,False,8.497536199982278,0.052266683952629935,[0.044 0.092 0.083],
27,3,2.800000000000001,0,True,[4231.753],15,0.1,0.4,True,10.770913899992593,0.243419042854969,[0.076 0.098 0.046],
27,3,2.9000000000000012,0,True,[4302.904],15,0.1,0.4,False,10.487807699944824,0.0634453885093995,[0.069 0.095 0.042],
28,3,2.700000000000001,0,True,[4157.066],15,0.1,0.4,True,10.17752649995964,0.23880441852465825,[0.092 0.075 0.083],
28,3,2.700000000000001,0,True,[4178.148],15,0.1,0.4,False,6.662213500007056,0.03771156666765886,[0.092 0.078 0.084],
29,3,3.3000000000000016,0,True,[11037.373],15,0.1,0.4,True,12.538033599965274,0.23804123636165803,[0.05  0.075 0.093],
29,3,3.4000000000000017,0,True,[11440.121],15,0.1,0.4,False,9.234780499944463,0.04341937254831268,[0.045 0.071 0.093],
0,4,2.700000000000001,0,True,[3434.475],15,0.1,0.4,True,14.076165699982084,0.33952167777655023,[0.063 0.093 0.055 0.039],
0,4,2.700000000000001,0,True,[3458.26],15,0.1,0.4,False,8.582873600069433,0.0355797083369301,[0.063 0.097 0.055 0.039],
1,4,2.600000000000001,0,True,[2330.751],15,0.1,0.4,True,17.442376699997112,0.4857126923161559,[0.062 0.091 0.014 0.042],
1,4,2.600000000000001,0,True,[2356.563],15,0.1,0.4,False,29.580726700020023,0.182790112501467,[0.062 0.095 0.014 0.042],
2,4,2.800000000000001,0,True,[5025.241],15,0.1,0.4,True,15.029014499974437,0.3564785357198811,[0.099 0.047 0.079 0.054],
2,4,2.800000000000001,0,True,[5051.73],15,0.1,0.4,False,19.20852070010733,0.1036640062427198,[0.099 0.047 0.082 0.056],
3,4,2.9000000000000012,0,True,[6583.142],15,0.1,0.4,True,15.32331509992946,0.3485963793214539,[0.083 0.052 0.055 0.097],
3,4,3.0000000000000013,0,True,[6639.896],15,0.1,0.4,False,16.600573800038546,0.07749972833456316,[0.075 0.048 0.05  0.092],
4,4,3.0000000000000013,0,True,[5987.731],15,0.1,0.4,True,25.12926790001802,0.6579178566617581,[0.077 0.066 0.094 0.033],
4,4,4.999999999999998,41,False,None,15,0.1,0.4,False,None,0.1220918493557044,[0.01  1.377 1.203 1.735],
5,4,2.400000000000001,0,True,[1330.093],15,0.1,0.4,True,12.39559069997631,0.33622389168886,[0.091 0.044 0.041 0.015],
5,4,2.400000000000001,0,True,[1330.247],15,0.1,0.4,False,18.134514900040813,0.11756027916756769,[0.091 0.044 0.042 0.015],
6,4,3.1000000000000014,0,True,[9128.816],15,0.1,0.4,True,18.73029520001728,0.423278096781653,[0.083 0.092 0.067 0.036],
6,4,3.1000000000000014,0,True,[9261.633],15,0.1,0.4,False,14.571582300006412,0.06214537903302229,[0.083 0.097 0.07  0.037],
7,4,3.0000000000000013,0,True,[8081.597],15,0.1,0.4,True,23.92963799997233,0.6171619966587362,[0.064 0.069 0.067 0.095],
7,4,3.1000000000000014,0,True,[8230.306],15,0.1,0.4,False,30.86463470000308,0.167025922579811,[0.061 0.065 0.063 0.091],
8,4,2.9000000000000012,0,True,[5626.99],15,0.1,0.4,True,16.66790180001408,0.3935767344945785,[0.097 0.02  0.093 0.034],
8,4,2.9000000000000012,0,True,[5654.848],15,0.1,0.4,False,11.109920100076124,0.04758076810133483,[0.097 0.02  0.096 0.034],
9,4,3.1000000000000014,0,True,[7506.6],15,0.1,0.4,True,16.544186900020577,0.35310414193513534,[0.091 0.038 0.02  0.088],
9,4,3.1000000000000014,0,True,[7623.927],15,0.1,0.4,False,17.22429809998721,0.07692491935168003,[0.091 0.039 0.02  0.094],
10,4,2.700000000000001,0,True,[4355.813],15,0.1,0.4,True,13.48980219999794,0.3187043555813876,[0.055 0.076 0.096 0.06 ],
10,4,2.700000000000001,0,True,[4377.755],15,0.1,0.4,False,8.535970499971882,0.03521979259352924,[0.055 0.078 0.099 0.061],
11,4,2.800000000000001,0,True,[4944.965],15,0.1,0.4,True,17.160361299989745,0.4329773428533891,[0.061 0.093 0.042 0.078],
11,4,2.800000000000001,0,True,[4997.132],15,0.1,0.4,False,18.10231600003317,0.09817473750029292,[0.061 0.096 0.042 0.081],
12,4,2.500000000000001,0,True,[2577.589],15,0.1,0.4,True,14.236382700037211,0.3883248239988461,[0.06  0.061 0.091 0.059],
12,4,2.500000000000001,0,True,[2581.743],15,0.1,0.4,False,15.77210180007387,0.09017738300608472,[0.06  0.061 0.093 0.059],
13,4,0,1,False,None,15,0.1,0.4,True,None,
13,4,4.999999999999998,50,False,None,15,0.1,0.4,False,None,0.04072401601355523,[0.011 1.793 1.445 1.407],
14,4,3.0000000000000013,0,True,[8112.163],15,0.1,0.4,True,16.842431199969724,0.38083589668385687,[0.049 0.068 0.075 0.098],
14,4,3.1000000000000014,0,True,[8217.327],15,0.1,0.4,False,23.526766799972393,0.11684610080649896,[0.045 0.063 0.073 0.091],
15,4,2.9000000000000012,0,True,[8688.511],15,0.1,0.4,True,17.590444799978286,0.4249176758638551,[0.043 0.096 0.095 0.094],
15,4,2.9000000000000012,0,True,[8828.292],15,0.1,0.4,False,11.191933199996129,0.04801907241525096,[0.044 0.1   0.1   0.098],
16,4,3.1000000000000014,0,True,[9217.515],15,0.1,0.4,True,17.27577290008776,0.3760676161168263,[0.053 0.09  0.045 0.091],
16,4,3.1000000000000014,0,True,[9526.11],15,0.1,0.4,False,20.00316229998134,0.09982864354500517,[0.055 0.098 0.046 0.098],
17,4,2.800000000000001,0,True,[4726.382],15,0.1,0.4,True,19.016272000037134,0.4987090035657665,[0.096 0.057 0.064 0.066],
17,4,2.800000000000001,0,True,[4741.614],15,0.1,0.4,False,32.72365130006801,0.1928193008965796,[0.098 0.058 0.064 0.069],
18,4,2.9000000000000012,0,True,[8139.345],15,0.1,0.4,True,17.89904559997376,0.43687551379091394,[0.018 0.09  0.097 0.098],
18,4,3.0000000000000013,0,True,[8332.959],15,0.1,0.4,False,28.4824400000507,0.15318025749972244,[0.016 0.084 0.091 0.096],
19,4,2.700000000000001,0,True,[5835.508],15,0.1,0.4,True,13.81201009999495,0.33109735557378306,[0.078 0.085 0.097 0.08 ],
19,4,2.700000000000001,0,True,[5899.433],15,0.1,0.4,False,12.40180940006394,0.06086289907344272,[0.078 0.088 0.099 0.084],
20,4,2.600000000000001,0,True,[2747.291],15,0.1,0.4,True,18.243618500069715,0.5218895076899431,[0.064 0.059 0.038 0.099],
20,4,2.700000000000001,0,True,[2754.709],15,0.1,0.4,False,42.00021420000121,0.28201624999659275,[0.059 0.054 0.035 0.093],
21,4,3.2000000000000015,0,True,[8425.676],15,0.1,0.4,True,23.073585900012404,0.5409671468769375,[0.071 0.073 0.043 0.094],
21,4,4.999999999999998,42,False,None,15,0.1,0.4,False,None,0.2452125687559601,[1.663 1.52  0.91  1.614],
22,4,0,1,False,None,15,0.1,0.4,True,None,
22,4,4.999999999999998,50,False,None,15,0.1,0.4,False,None,0.1163782620045822,[0.005 0.01  1.486 1.517],
23,4,2.1000000000000005,0,True,[1378.805],15,0.1,0.4,True,11.206383100012317,0.3536594523881961,[0.091 0.085 0.053 0.065],
23,4,2.1000000000000005,0,True,[1376.116],15,0.1,0.4,False,15.184207299957052,0.10469082380656064,[0.091 0.085 0.053 0.065],
24,4,2.500000000000001,0,True,[1814.197],15,0.1,0.4,True,13.002043599961326,0.33955055598635225,[0.098 0.043 0.034 0.03 ],
24,4,2.500000000000001,0,True,[1814.732],15,0.1,0.4,False,23.20459779992234,0.14674849400180393,[0.098 0.044 0.034 0.03 ],
25,4,3.0000000000000013,0,True,[7994.243],15,0.1,0.4,True,17.2684683999978,0.39608066667957853,[0.097 0.059 0.087 0.042],
25,4,3.0000000000000013,0,True,[8094.756],15,0.1,0.4,False,21.266399800078943,0.10688227499485947,[0.098 0.062 0.091 0.042],
26,4,2.800000000000001,0,True,[5651.356],15,0.1,0.4,True,17.634973599924706,0.44813867142407354,[0.027 0.095 0.08  0.083],
26,4,2.800000000000001,0,True,[5756.911],15,0.1,0.4,False,17.162210599984974,0.08862337232650523,[0.027 0.099 0.084 0.086],
27,4,3.2000000000000015,0,True,[10175.693],15,0.1,0.4,True,19.55724870006088,0.42965828126034467,[0.04  0.047 0.078 0.095],
27,4,3.2000000000000015,0,True,[10416.302],15,0.1,0.4,False,19.597406399901956,0.09037721953791333,[0.041 0.049 0.084 0.099],
28,4,2.9000000000000012,0,True,[6197.061],15,0.1,0.4,True,20.667745299986564,0.532708882767675,[0.092 0.085 0.06  0.052],
28,4,2.9000000000000012,0,True,[6271.751],15,0.1,0.4,False,32.52633819996845,0.1883911353431578,[0.092 0.091 0.061 0.053],
29,4,3.2000000000000015,0,True,[10442.192],15,0.1,0.4,True,29.991010700003244,0.7570069031280582,[0.096 0.058 0.097 0.058],
29,4,3.2000000000000015,0,True,[10484.878],15,0.1,0.4,False,57.269849300035276,0.34235721953518805,[0.082 0.082 0.097 0.06 ],
0,5,3.1000000000000014,0,True,[12238.564],15,0.1,0.25,True,22.540095600066707,0.5000736645175023,[0.049 0.072 0.099 0.079 0.062],
0,5,3.2000000000000015,0,True,[12488.578],15,0.1,0.25,False,22.373089600005187,0.08130961563292657,[0.045 0.067 0.096 0.074 0.058],
1,5,2.700000000000001,0,True,[5199.145],15,0.1,0.25,True,26.746139999944717,0.7628927814765591,[0.094 0.07  0.093 0.051 0.035],
1,5,2.700000000000001,0,True,[5227.029],15,0.1,0.25,False,18.43375319999177,0.07821386444244396,[0.094 0.073 0.096 0.052 0.035],
2,5,3.1000000000000014,0,True,[7540.517],15,0.1,0.25,True,22.907918200013228,0.5112707225846187,[0.031 0.056 0.06  0.091 0.03 ],
2,5,3.1000000000000014,0,True,[7633.547],15,0.1,0.25,False,12.185160399996676,0.03511224645565474,[0.031 0.057 0.062 0.095 0.03 ],
3,5,2.800000000000001,0,True,[6942.505],15,0.1,0.25,True,28.946331400074996,0.8081282035771957,[0.078 0.1   0.035 0.079 0.071],
3,5,2.9000000000000012,0,True,[7076.143],15,0.1,0.25,False,25.352407500031404,0.10556599654995932,[0.072 0.098 0.032 0.074 0.067],
4,5,3.2000000000000015,0,True,[9058.826],15,0.1,0.25,True,25.427091100020334,0.566094253121264,[0.08  0.092 0.042 0.018 0.017],
4,5,3.3000000000000016,0,True,[9264.795],15,0.1,0.25,False,22.944243800011463,0.08080974120900712,[0.073 0.091 0.039 0.016 0.016],
5,5,2.9000000000000012,0,True,[8143.965],15,0.1,0.25,True,21.100467299926095,0.5013921930984562,[0.051 0.087 0.078 0.097 0.04 ],
5,5,3.0000000000000013,0,True,[8357.351],15,0.1,0.25,False,19.58374609996099,0.07377646133226032,[0.046 0.083 0.074 0.094 0.036],
6,5,3.0000000000000013,0,True,[10623.66],15,0.1,0.25,True,21.624221400008537,0.4936259966615277,[0.061 0.095 0.05  0.09  0.077],
6,5,3.0000000000000013,0,True,[10818.414],15,0.1,0.25,False,16.760662200045772,0.061420404000673445,[0.061 0.1   0.05  0.095 0.081],
7,5,3.0000000000000013,0,True,[8300.974],15,0.1,0.25,True,27.436854799976572,0.6875365133358476,[0.062 0.056 0.038 0.077 0.092],
7,5,3.0000000000000013,0,True,[8413.092],15,0.1,0.25,False,26.486443000030704,0.11199546800072616,[0.063 0.059 0.038 0.08  0.096],
8,5,2.500000000000001,0,True,[3453.58],15,0.1,0.25,True,19.24652119993698,0.5435906679928303,[0.067 0.022 0.067 0.095 0.084],
8,5,2.500000000000001,0,True,[3462.673],15,0.1,0.25,False,11.245461000013165,0.04295251520164311,[0.067 0.022 0.067 0.097 0.085],
9,5,3.0000000000000013,0,True,[11135.764],15,0.1,0.25,True,23.633687300025485,0.5616109799942933,[0.094 0.086 0.05  0.079 0.082],
9,5,3.0000000000000013,0,True,[11376.484],15,0.1,0.25,False,44.63006170000881,0.19886086066874364,[0.094 0.094 0.051 0.083 0.085],
10,5,2.9000000000000012,0,True,[7508.644],15,0.1,0.25,True,24.77121289994102,0.6259355310286427,[0.1   0.029 0.076 0.095 0.018],
10,5,3.0000000000000013,0,True,[7599.465],15,0.1,0.25,False,16.151018899981864,0.05772581533063203,[0.091 0.026 0.07  0.091 0.016],
11,5,2.700000000000001,0,True,[4834.837],15,0.1,0.25,True,19.401224000030197,0.48789912964113885,[0.055 0.077 0.096 0.013 0.076],
11,5,2.700000000000001,0,True,[4871.185],15,0.1,0.25,False,14.223313400056213,0.055150085926504326,[0.055 0.079 0.099 0.013 0.077],
12,5,2.600000000000001,0,True,[6146.279],15,0.1,0.25,True,18.823441199958324,0.4975805653823325,[0.091 0.094 0.074 0.078 0.097],
12,5,2.700000000000001,0,True,[6193.4],15,0.1,0.25,False,19.11544199998025,0.08350017407512361,[0.083 0.087 0.068 0.071 0.091],
13,5,3.0000000000000013,0,True,[10164.876],15,0.1,0.25,True,24.006887800060213,0.5716497500000212,[0.075 0.086 0.096 0.063 0.041],
13,5,3.1000000000000014,0,True,[10387.186],15,0.1,0.25,False,31.701594699989073,0.12995394645033465,[0.069 0.081 0.096 0.059 0.037],
14,5,2.9000000000000012,0,True,[7227.047],15,0.1,0.25,True,22.121756999986246,0.5369261551833037,[0.076 0.021 0.093 0.061 0.076],
14,5,2.9000000000000012,0,True,[7284.039],15,0.1,0.25,False,17.148556099971756,0.0642334248356778,[0.076 0.021 0.097 0.062 0.078],
15,5,3.0000000000000013,0,True,[9667.85],15,0.1,0.25,True,30.2484483999433,0.7802312233407671,[0.09  0.063 0.069 0.095 0.028],
15,5,3.0000000000000013,0,True,[9755.008],15,0.1,0.25,False,15.291883600060828,0.05225496066113313,[0.09  0.065 0.072 0.099 0.028],
16,5,2.700000000000001,0,True,[3888.631],15,0.1,0.25,True,19.33291909995023,0.4897792259213963,[0.095 0.069 0.059 0.026 0.042],
16,5,2.700000000000001,0,True,[3896.123],15,0.1,0.25,False,14.437745200004429,0.056687746669545215,[0.095 0.071 0.06  0.026 0.042],
17,5,2.700000000000001,0,True,[5559.008],15,0.1,0.25,True,25.19613279995974,0.7063537074158106,[0.08  0.089 0.1   0.067 0.098],
17,5,4.999999999999998,32,False,None,15,0.1,0.25,False,None,0.15965372295649416,[0.008 1.199 1.304 1.208 1.078],
18,5,2.9000000000000012,0,True,[6599.879],15,0.1,0.25,True,21.12453699996695,0.5010788896530546,[0.059 0.041 0.033 0.087 0.091],
18,5,2.9000000000000012,0,True,[6633.307],15,0.1,0.25,False,20.293014899943955,0.08066640965769004,[0.059 0.041 0.034 0.088 0.094],
19,5,2.700000000000001,0,True,[6103.273],15,0.1,0.25,True,20.126566299935803,0.5197163703678934,[0.086 0.1   0.085 0.042 0.066],
19,5,2.800000000000001,0,True,[6186.199],15,0.1,0.25,False,15.409136899979785,0.05886372285645588,[0.077 0.098 0.079 0.038 0.064],
20,5,2.9000000000000012,0,True,[8474.903],15,0.1,0.25,True,20.250750199891627,0.4719104448148724,[0.085 0.048 0.069 0.071 0.095],
20,5,2.9000000000000012,0,True,[8555.063],15,0.1,0.25,False,12.530053999973461,0.04078229999587197,[0.085 0.049 0.073 0.072 0.099],
21,5,3.0000000000000013,0,True,[9298.427],15,0.1,0.25,True,23.69746659998782,0.5633570699913738,[0.085 0.095 0.056 0.04  0.069],
21,5,3.0000000000000013,0,True,[9415.256],15,0.1,0.25,False,32.879332400043495,0.14320190199806043,[0.085 0.1   0.056 0.04  0.072],
22,5,2.800000000000001,0,True,[6750.219],15,0.1,0.25,True,19.046636300045066,0.45418362142351854,[0.096 0.062 0.056 0.07  0.083],
22,5,2.800000000000001,0,True,[6793.546],15,0.1,0.25,False,18.14186920004431,0.07184360142065478,[0.096 0.063 0.057 0.072 0.086],
23,5,3.0000000000000013,0,True,[6476.156],15,0.1,0.25,True,23.109359099995345,0.542567383342733,[0.1   0.061 0.018 0.056 0.038],
23,5,3.0000000000000013,0,True,[6495.911],15,0.1,0.25,False,19.11242520005908,0.07115932466772695,[0.1   0.062 0.018 0.058 0.038],
24,5,2.500000000000001,0,True,[3399.539],15,0.1,0.25,True,20.45529529999476,0.5897870560083538,[0.097 0.048 0.077 0.057 0.065],
24,5,2.500000000000001,0,True,[3404.156],15,0.1,0.25,False,21.896263499977067,0.1086081231944263,[0.098 0.048 0.079 0.058 0.066],
25,5,2.800000000000001,0,True,[5321.939],15,0.1,0.25,True,19.116981200058945,0.4559524393075013,[0.03  0.055 0.019 0.099 0.087],
25,5,2.9000000000000012,0,True,[5363.449],15,0.1,0.25,False,16.14378309994936,0.05843155448212577,[0.027 0.051 0.017 0.092 0.081],
26,5,2.600000000000001,0,True,[3013.862],15,0.1,0.25,True,22.96331919997465,0.6573728077033033,[0.094 0.038 0.06  0.05  0.051],
26,5,2.600000000000001,0,True,[3019.701],15,0.1,0.25,False,25.15145260002464,0.12544448846646655,[0.095 0.038 0.06  0.05  0.051],
27,5,3.0000000000000013,0,True,[8176.245],15,0.1,0.25,True,27.968685499974526,0.7054783099990648,[0.094 0.06  0.043 0.05  0.081],
27,5,3.0000000000000013,0,True,[8307.412],15,0.1,0.25,False,32.698689999990165,0.1437565920036286,[0.097 0.061 0.047 0.05  0.088],
28,5,2.9000000000000012,0,True,[7894.626],15,0.1,0.25,True,20.38423480000347,0.47613547243386634,[0.054 0.037 0.091 0.084 0.081],
28,5,2.9000000000000012,0,True,[8079.905],15,0.1,0.25,False,13.674257199978456,0.0465919641328269,[0.054 0.037 0.095 0.091 0.086],
29,5,3.1000000000000014,0,True,[11004.158],15,0.1,0.25,True,22.847276599961333,0.5107751903049047,[0.065 0.058 0.027 0.096 0.085],
29,5,3.2000000000000015,0,True,[11298.414],15,0.1,0.25,False,25.82066039997153,0.09385949312490993,[0.059 0.055 0.024 0.094 0.081],
0,6,3.1000000000000014,0,True,[9323.278],15,0.1,0.25,True,37.52187060005963,0.9308642967746803,[0.091 0.042 0.039 0.091 0.031 0.035],
0,6,4.999999999999998,42,False,None,15,0.1,0.25,False,None,0.25403915000060806,[1.445 1.615 1.323 1.449 1.465 1.629],
1,6,3.0000000000000013,0,True,[10359.358],15,0.1,0.25,True,32.69927159999497,0.8088683933252468,[0.08  0.099 0.069 0.052 0.056 0.043],
1,6,3.1000000000000014,0,True,[10456.56],15,0.1,0.25,False,36.611048899940215,0.12339459462729734,[0.072 0.094 0.063 0.049 0.051 0.039],
2,6,3.2000000000000015,0,True,[15150.386],15,0.1,0.25,True,31.885921499924734,0.7162378937573521,[0.078 0.043 0.056 0.057 0.07  0.094],
2,6,3.3000000000000016,0,True,[15485.773],15,0.1,0.25,False,38.618982700048946,0.1303432202025439,[0.071 0.039 0.054 0.053 0.068 0.093],
3,6,0.8999999999999999,1,False,None,15,0.1,0.25,True,None,
3,6,4.999999999999998,44,False,None,15,0.1,0.25,False,None,0.08102567750320304,[0.008 1.118 1.568 1.407 1.225 0.962],
4,6,3.1000000000000014,0,True,[11031.814],15,0.1,0.25,True,47.66126710001845,1.2573389128909536,[0.086 0.059 0.05  0.065 0.016 0.095],
4,6,3.2000000000000015,0,True,[11226.397],15,0.1,0.25,False,56.59520360000897,0.2093485072976667,[0.079 0.056 0.046 0.062 0.014 0.092],
5,6,2.600000000000001,0,True,[3600.605],15,0.1,0.25,True,46.77575759997126,1.5183793461406963,[0.065 0.08  0.087 0.099 0.069 0.055],
5,6,4.999999999999998,39,False,None,15,0.1,0.25,False,None,0.09494240070004405,[0.006 0.008 1.252 1.266 1.199 1.56 ],
6,6,3.1000000000000014,0,True,[11765.098],15,0.1,0.25,True,30.478423499967903,0.7026414129086921,[0.015 0.07  0.095 0.081 0.032 0.067],
6,6,3.2000000000000015,0,True,[12074.68],15,0.1,0.25,False,24.069367400021292,0.06940725677062194,[0.013 0.066 0.093 0.077 0.029 0.065],
7,6,3.2000000000000015,0,True,[13711.795],15,0.1,0.25,True,29.72723630000837,0.6487936687590263,[0.067 0.074 0.018 0.091 0.049 0.067],
7,6,3.3000000000000016,0,True,[14133.23],15,0.1,0.25,False,29.257595299975947,0.0850490505132128,[0.061 0.072 0.017 0.092 0.044 0.064],
8,6,3.1000000000000014,0,True,[13285.324],15,0.1,0.25,True,30.225276799988933,0.6943797806518213,[0.091 0.075 0.037 0.077 0.075 0.063],
8,6,3.1000000000000014,0,True,[13557.269],15,0.1,0.25,False,20.311315699946135,0.059494741936965335,[0.091 0.078 0.037 0.083 0.081 0.066],
9,6,2.9000000000000012,0,True,[9858.75],15,0.1,0.25,True,27.815226499922574,0.6782690551621711,[0.081 0.074 0.081 0.05  0.055 0.096],
