i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
0,3,2.9000000000000012,0,True,[4566.435],15,0.1,0.4,True,24.096058399998583,0.6106774344807491,[0.095 0.08  0.021],
0,3,2.9000000000000012,0,True,[4580.882],15,0.1,0.4,False,12.54723839997314,0.07741331839238176,[0.095 0.082 0.021],
1,3,3.0000000000000013,0,True,[4958.844],15,0.1,0.4,True,18.920733999926597,0.4264661933256624,[0.07  0.092 0.02 ],
1,3,3.0000000000000013,0,True,[4980.542],15,0.1,0.4,False,10.386312499991618,0.06151938110771071,[0.07  0.095 0.02 ],
2,3,2.600000000000001,0,True,[2849.392],15,0.1,0.4,True,18.253388700075448,0.5222304346299587,[0.095 0.045 0.089],
2,3,2.600000000000001,0,True,[2886.837],15,0.1,0.4,False,18.042780100018717,0.14036617692386827,[0.095 0.045 0.091],
3,3,1.8000000000000005,1,False,None,15,0.1,0.4,True,None,
