i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
0,3,3.3000000000000016,0,True,[9253.237],15,0.1,0.4,True,24.919188499916345,0.571098839391418,[0.091 0.081 0.014],
0,3,3.3000000000000016,0,True,[9513.112],15,0.1,0.4,False,27.828696899930947,0.19452340403957424,[0.092 0.09  0.014],
1,3,3.0000000000000013,0,True,[6116.009],15,0.1,0.4,True,19.738137200009078,0.48027888000554714,[0.096 0.058 0.071],
1,3,3.0000000000000013,0,True,[6126.226],15,0.1,0.4,False,11.883112400071695,0.07495682110828865,[0.096 0.057 0.073],
2,3,2.9000000000000012,0,True,[4458.916],15,0.1,0.4,True,24.601406499976292,0.6749304724166748,[0.089 0.055 0.099],
2,3,2.9000000000000012,0,True,[4473.216],15,0.1,0.4,False,26.475425800075755,0.2203592034498358,[0.089 0.057 0.1  ],
3,3,2.800000000000001,0,True,[4264.247],15,0.1,0.4,True,19.598992399987765,0.5021083535601585,[0.089 0.032 0.095],
3,3,2.9000000000000012,0,True,[4324.801],15,0.1,0.4,False,17.153350900043733,0.12702195976336284,[0.082 0.029 0.093],
4,3,3.0000000000000013,0,True,[6586.382],15,0.1,0.4,True,21.629460000083782,0.5418699799959238,[0.071 0.093 0.068],
4,3,3.0000000000000013,0,True,[6709.845],15,0.1,0.4,False,15.002245099982247,0.10862217333504103,[0.071 0.098 0.072],
5,3,3.2000000000000015,0,True,[10014.732],15,0.1,0.4,True,20.143668900011107,0.44511759374290705,[0.068 0.068 0.097],
5,3,3.3000000000000016,0,True,[10364.412],15,0.1,0.4,False,13.562466499977745,0.07624646161466536,[0.061 0.065 0.097],
6,3,3.1000000000000014,0,True,[7693.232],15,0.1,0.4,True,18.633268099976704,0.41162014515289375,[0.064 0.058 0.099],
6,3,3.2000000000000015,0,True,[7771.306],15,0.1,0.4,False,14.546387100010179,0.08587582708423724,[0.058 0.053 0.094],
7,3,2.9000000000000012,0,True,[5531.835],15,0.1,0.4,True,21.11616870004218,0.5286049000027686,[0.078 0.095 0.061],
7,3,2.9000000000000012,0,True,[5603.857],15,0.1,0.4,False,21.803396599949338,0.16206979425490203,[0.078 0.099 0.063],
8,3,3.0000000000000013,0,True,[5870.316],15,0.1,0.4,True,17.95285799994599,0.42029062667861583,[0.058 0.066 0.092],
8,3,3.1000000000000014,0,True,[6098.159],15,0.1,0.4,False,11.991685400018468,0.07174445699114272,[0.053 0.065 0.093],
9,3,3.0000000000000013,0,True,[6866.212],15,0.1,0.4,True,17.813953700009733,0.4120853466641468,[0.098 0.029 0.096],
