i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve,dist_to_goal
0,3,3.0000000000000013,0,True,[6248.631],10,0.1,"[100, 101, 102]",0.4,False,12.534121899981983,[0.018 0.099 0.092],
1,3,3.0000000000000013,0,True,[5385.149],10,0.1,"[100, 101, 102]",0.4,False,5.83385230001295,[0.094 0.059 0.056],
2,3,3.2000000000000015,0,True,[6593.573],10,0.1,"[100, 101, 102]",0.4,False,9.778341799974442,[0.091 0.048 0.047],
3,3,2.800000000000001,0,True,[3332.338],10,0.1,"[100, 101, 102]",0.4,False,9.435728200012818,[0.042 0.095 0.059],
4,3,3.4000000000000017,0,True,[11208.273],10,0.1,"[100, 101, 102]",0.4,False,7.453533599968068,[0.096 0.076 0.031],
5,3,2.400000000000001,0,True,[3033.548],10,0.1,"[100, 101, 102]",0.4,False,8.01176890003262,[0.1   0.091 0.1  ],
6,3,2.400000000000001,0,True,[1544.834],10,0.1,"[100, 101, 102]",0.4,False,4.051900800026488,[0.091 0.067 0.035],
7,3,3.0000000000000013,0,True,[4929.678],10,0.1,"[100, 101, 102]",0.4,False,20.308022300014272,[0.081 0.093 0.028],
8,3,2.500000000000001,0,True,[2117.014],10,0.1,"[100, 101, 102]",0.4,False,4.2124168000300415,[0.071 0.031 0.099],
9,3,3.2000000000000015,0,True,[7853.457],10,0.1,"[100, 101, 102]",0.4,False,6.535438899998553,[0.099 0.067 0.044],
10,3,2.400000000000001,0,True,[1319.209],10,0.1,"[100, 101, 102]",0.4,False,4.054573400004301,[0.091 0.022 0.058],
11,3,2.9000000000000012,0,True,[5137.699],10,0.1,"[100, 101, 102]",0.4,False,4.896361299965065,[0.058 0.071 0.098],
12,3,3.2000000000000015,0,True,[10453.727],10,0.1,"[100, 101, 102]",0.4,False,10.658699799969327,[0.098 0.069 0.081],
13,3,3.1000000000000014,0,True,[7494.636],10,0.1,"[100, 101, 102]",0.4,False,6.290599400002975,[0.088 0.091 0.047],
14,3,3.0000000000000013,0,True,[5465.385],10,0.1,"[100, 101, 102]",0.4,False,7.07846960000461,[0.098 0.052 0.06 ],
15,3,2.9000000000000012,0,True,[4592.623],10,0.1,"[100, 101, 102]",0.4,False,6.252239399997052,[0.099 0.073 0.036],
16,3,3.2000000000000015,0,True,[8080.108],10,0.1,"[100, 101, 102]",0.4,False,6.569479700003285,[0.037 0.097 0.075],
17,3,2.700000000000001,0,True,[2768.818],10,0.1,"[100, 101, 102]",0.4,False,12.846172799996566,[0.07  0.053 0.092],
18,3,2.9000000000000012,0,True,[3938.622],10,0.1,"[100, 101, 102]",0.4,False,5.491224199999124,[0.057 0.096 0.033],
19,3,3.3000000000000016,0,True,[9879.26],10,0.1,"[100, 101, 102]",0.4,False,9.943388499959838,[0.1   0.07  0.044],
20,3,3.0000000000000013,0,True,[5871.095],10,0.1,"[100, 101, 102]",0.4,False,7.833762300026137,[0.081 0.026 0.099],
21,3,2.9000000000000012,0,True,[6220.327],10,0.1,"[100, 101, 102]",0.4,False,16.200181099993642,[0.1   0.084 0.074],
22,3,2.500000000000001,0,True,[2487.074],10,0.1,"[100, 101, 102]",0.4,False,9.50681920000352,[0.058 0.077 0.098],
23,3,3.3000000000000016,0,True,[7381.786],10,0.1,"[100, 101, 102]",0.4,False,11.267761200026143,[0.058 0.091 0.026],
24,3,2.800000000000001,0,True,[3293.531],10,0.1,"[100, 101, 102]",0.4,False,13.385115099954419,[0.028 0.072 0.091],
25,3,2.700000000000001,0,True,[2529.],10,0.1,"[100, 101, 102]",0.4,False,15.326310700038448,[0.08  0.094 0.059],
26,3,3.1000000000000014,0,True,[6647.778],10,0.1,"[100, 101, 102]",0.4,False,6.303039600024931,[0.091 0.04  0.079],
27,3,2.9000000000000012,0,True,[5908.38],10,0.1,"[100, 101, 102]",0.4,False,7.224243999982718,[0.1   0.032 0.097],
28,3,3.0000000000000013,0,True,[6024.127],10,0.1,"[100, 101, 102]",0.4,False,13.669261900009587,[0.092 0.064 0.069],
29,3,3.2000000000000015,0,True,[8487.237],10,0.1,"[100, 101, 102]",0.4,False,12.00415829999838,[0.075 0.096 0.046],
1,4,2.9000000000000012,0,True,[6113.942],10,0.1,"[100, 101, 102, 103]",0.4,False,20.655236599966884,[0.094 0.084 0.068 0.032],
2,4,3.1000000000000014,0,True,[6448.585],10,0.1,"[100, 101, 102, 103]",0.4,False,20.116437899996527,[0.048 0.035 0.1   0.045],
3,4,3.2000000000000015,0,True,[8670.535],10,0.1,"[100, 101, 102, 103]",0.4,False,16.500449099985417,[0.058 0.059 0.1   0.018],
4,4,2.700000000000001,0,True,[5224.946],10,0.1,"[100, 101, 102, 103]",0.4,False,15.910742899985053,[0.056 0.1   0.08  0.088],
5,4,3.1000000000000014,0,True,[7590.994],10,0.1,"[100, 101, 102, 103]",0.4,False,15.864826100005303,[0.074 0.097 0.029 0.055],
6,4,2.9000000000000012,0,True,[7180.175],10,0.1,"[100, 101, 102, 103]",0.4,False,16.238426299998537,[0.085 0.071 0.07  0.093],
